,Model,Intersection,Ranked Results
10,distilbert-base-uncased,[0.75 1.   0.   1.   0.75 1.   1.   1.   1.  ],"['onnxport/distilbert-base-uncased-onnx', 'distilbert-base-cased', 'ultraleow/cloud4bert', 'mlcorelib/debertav2-base-uncased', 'Gxg/OpNum_Bert_Merge', 'bert-base-uncased', 'Contents/bert-base-uncased', 'byeongal/bert-base-uncased', 'bert-base-cased']"
11,SamLowe/roberta-base-go_emotions,"[0.14285714 0.33333333 0.33333333 0.33333333 0.         0.25
 0.         0.         0.        ]","['KnutJaegersberg/topic-classification-IPTC-subject-labels', 'optimum/distilbert-base-uncased-finetuned-sst-2-english', 'tartuNLP/EstBERT128_Rubric', 'speeqo/distilbert-base-uncased-finetuned-sst-2-english', 'google/t5_xxl_true_nli_mixture', 'mwz/UrduClassification', 'ayansinha/lic-class-scancode-bert-base-cased-L32-1', 'ayansinha/false-positives-scancode-bert-base-uncased-L8-1', 'hackathon-pln-es/wav2vec2-base-finetuned-sentiment-classification-MESD']"
12,roberta-base,[1.   0.   0.25 0.25 0.25 0.75 0.25 1.   0.75],"['model-attribution-challenge/roberta-base', 'Gxl/234', 'macedonizer/al-roberta-base', 'macedonizer/hr-roberta-base', 'macedonizer/mk-roberta-base', 'UKP-SQuARE/bert-base-cased-onnx', 'macedonizer/sr-roberta-base', 'bert-base-cased', 'tftransformers/bert-base-uncased']"
13,marieke93/MiniLM-evidence-types,"[1.         0.33333333 0.33333333 0.33333333 0.33333333 0.33333333
 0.33333333 0.33333333 0.33333333]","['marieke93/BERT-evidence-types', 'chunwoolee0/cnn_dailymail_t5_small', 'Amir13/xlm-roberta-base-wnut2017-en', 'Amir13/xlm-roberta-base-ontonotesv5', 'Amir13/xlm-roberta-base-ontonotesv5-en', 'Amir13/xlm-roberta-base-conll2003', 'DunnBC22/bert-large-cased-lora-finetuned-ner-EMBO-SourceData', 'Lukas97/bert-base-cased-multilingual-finetuned-ner', 'Amir13/bert-base-parsbert-uncased-conll2003']"
14,Ashishkr/query_wellformedness_score,"[0.33333333 0.         0.5        0.         0.         0.
 0.         0.         0.        ]","['EIStakovskii/camembert_base_fluency', 'hipnologo/falcon-7b-instruct-qlora-truthful-qa', 'spartan97/distilbert-base-uncased-finetuned-objectivity-rotten', 'aleksahet/xlm-r-squad-sr-lat', 'aliosm/ComVE-distilgpt2', 'tifa-benchmark/llama2_tifa_question_generation', 'valhalla/distilt5-qg-hl-12-6', 'valhalla/distilt5-qg-hl-6-4', 'Unbabel/wmt22-comet-da']"
15,microsoft/resnet-50,[0.8 0.6 0.6 0.6 0.6 0.6 0.6 0.6 0.6],"['microsoft/resnet-18', 'google/mobilenet_v2_1.4_224', 'google/mobilenet_v2_1.0_224', 'google/mobilenet_v2_0.75_160', 'google/mobilenet_v2_0.35_96', 'facebook/convnext-base-224-22k-1k', 'facebook/convnext-base-384-22k-1k', 'facebook/convnext-tiny-224', 'facebook/convnext-base-384']"
16,albert-base-v2,"[1.         1.         0.66666667 0.66666667 0.66666667 0.
 1.         1.         0.66666667]","['albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'UKP-SQuARE/bert-base-uncased-onnx', 'google/fnet-base', 'roberta-base', 'model-attribution-challenge/roberta-base', 'UKP-SQuARE/bert-base-cased-onnx']"
17,bert-base-cased,[0.75 1.   0.75 1.   1.   0.75 0.75 1.   1.  ],"['tftransformers/bert-base-uncased', 'mlcorelib/debertav2-base-uncased', 'Gxg/OpNum_Bert_Merge', 'bert-base-uncased', 'Contents/bert-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'UKP-SQuARE/bert-base-uncased-onnx', 'byeongal/bert-base-uncased', 'bert-base-multilingual-cased']"
18,microsoft/deberta-base,[0.5  0.5  0.5  0.5  0.5  0.5  0.25 0.   0.5 ],"['microsoft/deberta-v3-base', 'microsoft/deberta-xlarge-mnli', 'microsoft/deberta-v3-xsmall', 'microsoft/deberta-v2-xlarge', 'microsoft/deberta-v2-xxlarge', 'microsoft/deberta-large-mnli', 'microsoft/deberta-v2-xxlarge-mnli', 'timpal0l/mdeberta-v3-base-squad2', 'microsoft/mdeberta-v3-base']"
19,microsoft/layoutlmv3-base,[1. 1. 1. 1. 1. 0. 0. 0. 0.],"['microsoft/layoutlmv3-base-chinese', 'microsoft/layoutxlm-base', 'microsoft/layoutlmv2-base-uncased', 'microsoft/dit-base', 'microsoft/dit-base-finetuned-rvlcdip', 'SCUT-DLVCLab/lilt-infoxlm-base', 'SCUT-DLVCLab/lilt-roberta-en-base', 'manu/lilt-camembert-dit-base-hf', 'hojland/lilt-xlm-roberta-base']"
20,CompVis/stable-diffusion-safety-checker,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['cag/anything-v3-1', 'coreml-community/coreml-anything-v3-1', 'AIML-TUDA/stable-diffusion-safe', 'Corruptlake/Sci-Fi-Diffusion', 'kiriyamaX/MonoSpace', 'Bingsu/my-korean-stable-diffusion-v1-5', 'Falah/islamicdiffusion', 'lambdalabs/image-mixer', 'Falah/Iyad_Radi_SDXL1.0_Lora']"
21,distilbert-base-uncased-finetuned-sst-2-english,"[1.         1.         0.         0.33333333 0.33333333 0.66666667
 0.         0.66666667 0.        ]","['51la5/distilbert-base-sentiment', 'Alanhau/test', 'typeform/distilbert-base-uncased-mnli', 'JeswinMS4/bert-base-intent', 'roberta-large-mnli', 'optimum/distilbert-base-uncased-finetuned-sst-2-english', 'AndyChiang/cdgp-csg-bert-dgen', 'speeqo/distilbert-base-uncased-finetuned-sst-2-english', 'distilbert-base-uncased-distilled-squad']"
22,camembert-base,[1.  1.  1.  1.  1.  0.5 0.  1.  0. ],"['nrnmnrn/dummy-model', 'Bugpie/dummy-model', 'xlm-mlm-100-1280', 'xlm-mlm-17-1280', 'xlm-mlm-enfr-1024', 'PlanTL-GOB-ES/RoBERTalex', 'camembert/camembert-large', 'xlm-mlm-ende-1024', 'roberta-large-mnli']"
23,distilbert-base-multilingual-cased,[0.5 0.  0.  1.  1.  1.  1.  1.  1. ],"['distilroberta-base', 'distilbert-base-cased-distilled-squad', 'distilbert-base-uncased-distilled-squad', 'bert-base-multilingual-cased', 'bert-base-multilingual-uncased', 'distilbert-base-uncased', 'distilbert-base-cased', 'xlm-mlm-100-1280', 'xlm-mlm-xnli15-1024']"
24,stabilityai/stable-diffusion-2-1,[0.75 0.5  0.5  1.   0.5  1.   0.5  0.5  0.5 ],"['stabilityai/stable-diffusion-2', 'FahimF/StableDiffusion-2.1_512_EINSUM_img2img', 'pcuenq/coreml-stable-diffusion-2-1-base', 'stabilityai/stable-diffusion-2-depth', 'lmz/rust-stable-diffusion-v2-1', 'stabilityai/stable-diffusion-2-inpainting', 'Narsil/stable-diffusion-v1-4', 'osanseviero/compvis_fix', 'CompVis/stable-diffusion-v1-4']"
25,google/electra-base-discriminator,[1. 0. 0. 0. 0. 0. 0. 0. 0.],"['google/electra-small-generator', 'mrm8488/electricidad-base-generator', 'mrm8488/legalectra-base-spanish', 'mrm8488/electra-small-finetuned-squadv2', 'mrm8488/electricidad-base-discriminator', 'krevas/finance-koelectra-base-generator', 'krevas/finance-koelectra-base-discriminator', 'mrm8488/electra-base-finetuned-squadv1', 'Aureliano/electra-if']"
26,google/vit-base-patch16-224-in21k,[1.   1.   0.75 0.75 0.75 0.5  0.25 0.   0.5 ],"['google/vit-huge-patch14-224-in21k', 'google/vit-base-patch32-224-in21k', 'google/vit-base-patch16-384', 'google/vit-base-patch32-384', 'google/vit-base-patch16-224', 'optimum/vit-base-patch16-224', 'nateraw/vit-base-patch16-224-cifar10', 'facebook/deit-base-patch16-384', 'facebook/dino-vits16']"
27,Davlan/distilbert-base-multilingual-cased-ner-hrl,[1.  1.  0.5 0.  0.5 0.5 0.5 0.5 0. ],"['Davlan/bert-base-multilingual-cased-ner-hrl', 'Davlan/xlm-roberta-large-ner-hrl', 'uer/roberta-base-finetuned-cluener2020-chinese', 'pierreguillou/gpt2-small-portuguese', 'osiria/bert-italian-uncased-ner', 'dslim/bert-base-NER', 'dchaplinsky/uk_ner_web_trf_large', '51la5/bert-large-NER', 'yhavinga/t5-base-dutch']"
28,bert-base-multilingual-cased,[1.  1.  1.  0.5 0.5 1.  1.  0.5 0.5],"['bert-base-multilingual-uncased', 'mlcorelib/debertav2-base-uncased', 'bert-base-cased', 'tftransformers/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'bert-base-uncased', 'Contents/bert-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'UKP-SQuARE/bert-base-uncased-onnx']"
29,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'mrm8488/TinyBERT-spanish-uncased-finetuned-ner', 'Josue/BETO-espanhol-Squad2', 'mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es', 'muhtasham/olm-bert-tiny-december-2022', 'ytu-ce-cosmos/turkish-tiny-bert-uncased', 'ytu-ce-cosmos/turkish-mini-bert-uncased', 'snunlp/KR-BERT-char16424']"
30,yiyanghkust/finbert-tone,[0.   0.   0.75 0.   0.75 0.   0.25 0.   0.  ],"['philschmid/finbert-pretrain-yiyanghkust', 'FinanceInc/finbert-pretrain', 'Narsil/finbert2', 'ahmedrachid/FinancialBERT', 'ProsusAI/finbert', 'SALT-NLP/FLANG-BERT', 'soleimanian/financial-roberta-large-sentiment', 'SALT-NLP/FLANG-SpanBERT', 'MayaPH/FinOPT-Franklin']"
31,Intel/dpt-hybrid-midas,[0.75 0.5  0.25 0.25 0.25 0.25 0.25 0.25 0.25],"['Intel/dpt-large', 'Intel/dpt-large-ade', 'google/mobilenet_v2_1.0_224', 'google/mobilenet_v2_1.4_224', 'google/mobilenet_v2_0.35_96', 'google/mobilenet_v2_0.75_160', 'microsoft/swinv2-large-patch4-window12to16-192to256-22kto1k-ft', 'microsoft/swinv2-large-patch4-window12to24-192to384-22kto1k-ft', 'microsoft/swin-large-patch4-window12-384-in22k']"
32,QCRI/bert-base-multilingual-cased-pos-english,"[0.33333333 0.25       0.25       0.25       0.         0.25
 0.         0.25       0.33333333]","['browndw/docusco-bert', 'KoichiYasuoka/bert-base-japanese-luw-upos', 'KBLab/bert-base-swedish-lowermix-reallysimple-ner', 'KBLab/bert-base-swedish-cased-reallysimple-ner', 'Geotrend/bert-base-15lang-cased', 'KoichiYasuoka/bert-base-japanese-unidic-luw-upos', 'Geotrend/bert-base-25lang-cased', 'KoichiYasuoka/roberta-base-japanese-char-luw-upos', 'hfunakura/en-bertsemtagger-gold']"
33,distilroberta-base,"[0.5        0.         0.66666667 0.66666667 0.33333333 0.
 1.         0.         0.33333333]","['distilbert-base-multilingual-cased', 'roberta-large-mnli', 'roberta-base', 'model-attribution-challenge/roberta-base', 'fusionbase/deu-business-registry-roberta-base', 'xlm-roberta-large-finetuned-conll03-english', 'xlm-roberta-large-finetuned-conll02-dutch', 'xlm-roberta-large-finetuned-conll03-german', 'w11wo/javanese-roberta-small']"
34,allenai/longformer-base-4096,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['mrm8488/longformer-base-4096-finetuned-squadv2', 'mrm8488/longformer-base-4096-spanish', 'kiddothe2b/longformer-base-4096', 'Hitesh1501/Longformer', 'kiddothe2b/adhoc-hierarchical-transformer-base-4096', 'AIMH/mental-longformer-base-4096', 'kiddothe2b/longformer-mini-1024', 'google/bigbird-pegasus-large-arxiv', 'google/bigbird-pegasus-large-pubmed']"
35,ProsusAI/finbert,[0.75 0.75 0.   0.   0.25 0.   0.5  0.   0.  ],"['Narsil/finbert2', 'yiyanghkust/finbert-tone', 'FinanceInc/finbert-pretrain', 'philschmid/finbert-pretrain-yiyanghkust', 'soleimanian/financial-roberta-large-sentiment', 'ahmedrachid/FinancialBERT', 'turing-usp/FinBertPTBR', 'SALT-NLP/FLANG-SpanBERT', 'ChanceFocus/finma-7b-nlp']"
36,t5-small,"[0.75       0.75       0.         0.25       0.25       0.33333333
 0.33333333 0.         0.        ]","['t5-3b', 't5-11b', 'KETI-AIR/ke-t5-base', 'google/t5-xxl-lm-adapt', 'google/t5-large-lm-adapt', 'google/t5-v1_1-base', 'nijatzeynalov/mT5-based-azerbaijani-summarize', 'tau/t5-v1_1-base-sled', 'yhavinga/t5-v1_1-base-dutch-english-cased']"
37,facebook/bart-large-mnli,"[0.66666667 0.66666667 0.5        0.33333333 0.66666667 0.33333333
 0.66666667 0.66666667 0.66666667]","['Narsil/bart-large-mnli-opti', 'eleldar/theme-classification', 'Atharva192003/zero-shot-classfier', 'digitalepidemiologylab/covid-twitter-bert-v2-mnli', 'joeddav/xlm-roberta-large-xnli', 'joeddav/bart-large-mnli-yahoo-answers', 'sjrhuschlee/flan-t5-base-mnli', 'lighteternal/nli-xlm-r-greek', 'AntoineBlanot/flan-t5-xxl-classif-3way']"
38,bert-base-chinese,[1. 1. 1. 0. 1. 1. 1. 0. 1.],"['ptrsxu/bert-base-chinese', 'w11wo/javanese-bert-small', 'StevenLimcorn/MelayuBERT', 'dkleczek/bert-base-polish-cased-v1', 'Seraphiive/bert-personalized-PreAlpha-uncased', 'mosaicml/mosaic-bert-base', 'CAUKiel/JavaBERT', 'distilbert-base-uncased-distilled-squad', 'olm/olm-roberta-base-dec-2022']"
39,sentence-transformers/all-MiniLM-L6-v2,"[0.6        0.88461538 0.88461538 0.6        0.6        0.88461538
 0.92       0.6        0.6       ]","['optimum/all-MiniLM-L6-v2', 'sentence-transformers/all-MiniLM-L12-v2', 'sentence-transformers/all-distilroberta-v1', 'sentence-transformers/all-roberta-large-v1', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-mpnet-base-v2', 'diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', 'guidecare/all-mpnet-base-v2-feature-extraction']"
40,joeddav/xlm-roberta-large-xnli,"[0.6        0.5        0.71428571 0.71428571 0.5        0.5
 0.66666667 0.66666667 0.5       ]","['alan-turing-institute/mt5-large-finetuned-mnli-xtreme-xnli', 'svalabs/gbert-large-zeroshot-nli', 'MoritzLaurer/mDeBERTa-v3-base-mnli-xnli', 'MoritzLaurer/ernie-m-large-mnli-xnli', 'Recognai/zeroshot_selectra_medium', 'mjwong/multilingual-e5-large-xnli-anli', 'Narsil/bart-large-mnli-opti', 'facebook/bart-large-mnli', 'sjrhuschlee/flan-t5-base-mnli']"
41,pyannote/segmentation,"[0.84615385 0.61538462 0.53846154 0.61538462 0.61538462 0.
 0.61538462 0.         0.        ]","['philschmid/pyannote-segmentation', 'pyannote/speaker-diarization', 'pyannote/embedding', 'paris-iea/speaker-diarization', 'philschmid/pyannote-speaker-diarization-endpoint', 'bofenghuang/whisper-small-cv11-french', 'anilbs/pipeline', 'facebook/mms-lid-2048', 'bofenghuang/whisper-large-v2-cv11-german']"
42,facebook/musicgen-small,"[0.66666667 0.66666667 0.5        1.         0.         0.
 1.         0.         0.        ]","['LoopersClub/musicgen-small', 'reach-vb/musicgen-large-fp16-endpoint', 'cherrihart/musicgen-melody', 'facebook/musicgen-melody', 'cvssp/audioldm2', 'cvssp/audioldm2-music', 'facebook/audiogen-medium', 'ylacombe/bark-small', 'suno/bark']"
43,distilgpt2,"[0.66666667 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333
 0.33333333 0.33333333 0.33333333]","['Sussybaka/gpt2wilkinscoffee', 'EleutherAI/gpt-neo-2.7B', 'EleutherAI/gpt-neo-1.3B', 'ktangri/gpt-neo-demo', 'Panchovix/LLaMA-2-70B-GPTQ-transformers4.32.0.dev0', 'EleutherAI/gpt-neo-125m', 'Technotech/opt-125m-4bit-128g', 'flax-community/gpt2-bengali', 'abhinavkulkarni/meta-llama-Llama-2-7b-chat-hf-w4-g128-awq']"
44,ckiplab/bert-base-chinese-ner,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['DMetaSoul/sbert-chinese-general-v2', 'DMetaSoul/sbert-chinese-general-v1-distill', 'DMetaSoul/sbert-chinese-dtm-domain-v1-distill', 'jzju/sbert-sv-lim2', 'IDEA-CCNL/Wenzhong2.0-GPT2-110M-BertTokenizer-chinese', 'IDEA-CCNL/Randeng-BART-759M-Chinese-BertTokenizer', 'bongsoo/albert-small-kor-sbert-v1.1', 'bongsoo/albert-small-kor-sbert-v1', 'IDEA-CCNL/Randeng-Transformer-1.1B-Denoise']"
45,j-hartmann/emotion-english-distilroberta-base,"[0.85714286 0.5        0.33333333 0.2        0.33333333 0.25
 0.33333333 0.2        0.33333333]","['j-hartmann/emotion-english-roberta-large', 'ahmettasdemir/distilbert-base-uncased-finetuned-emotion', 'daveni/twitter-xlm-roberta-emotion-es', 'KBLab/emotional-classification', 'w11wo/sundanese-roberta-base-emotion-classifier', 'w11wo/indonesian-roberta-base-prdect-id', 'pysentimiento/robertuito-emotion-analysis', 'SchuylerH/bert-multilingual-go-emtions', 'w11wo/sundanese-gpt2-base-emotion-classifier']"
46,pyannote/speaker-diarization,"[0.9        0.89473684 0.9        0.53846154 0.2        0.16666667
 0.61538462 0.2        0.42857143]","['paris-iea/speaker-diarization', 'philschmid/pyannote-speaker-diarization-endpoint', 'anilbs/pipeline', 'pyannote/embedding', 'bofenghuang/whisper-large-v2-cv11-german', 'bofenghuang/whisper-small-cv11-french', 'pyannote/segmentation', 'projecte-aina/tts-ca-coqui-vits-multispeaker', 'transiteration/stt_kz_quartznet15x5']"
47,mosaicml/mpt-7b-instruct,"[0.83333333 0.83333333 0.8        0.83333333 0.83333333 0.16666667
 0.83333333 0.16666667 0.        ]","['k0t1k/mosaicml-mpt-7b-instruct-lora', 'gl198976/mpt-7b-instruct', 'blackmount8/mpt-7b-instruct-ct2-int8_float16', 'Trelis/mpt-7b-instruct-hosted-inference-8bit', 'eluzhnica/mpt-7b-instruct-peft-compatible', 'polymer/model-007-2-13b', 'michaelfeil/ct2fast-mpt-7b-instruct', 'upstage/llama-30b-instruct-2048', 'mdmachine/coreml-OrangeMixs']"
48,bigscience/bloom-560m,[1.  0.  0.5 0.5 1.  1.  0.5 1.  1. ],"['bigscience/bloom-1b7', 'papahawk/keya-560m', 'Rardilit/Panther_v1', 'model-attribution-challenge/bloom-350m', 'bigscience/distill-bloom-1b3-10x', 'bigscience/distill-bloom-1b3', 'model-attribution-challenge/bloom-560m', 'bigscience/bloom-3b', 'bigscience/bloom-1b1']"
49,facebook/bart-large-cnn,"[0.         0.         0.5        0.         0.         0.5
 0.33333333 0.         0.        ]","['patrickvonplaten/bart-large-fp32', 'tftransformers/bart-base', 'facebook/bart-large', 'vedu/bart-large-perturbed', 'stockmark/bart-base-japanese-news', 'ainize/bart-base-cnn', 'ML-unipi/bart-large-tos', 'McGill-NLP/bart-qg-nq-checkpoint', 'byeongal/bart-base']"
