,Model,Intersection,Ranked Results
10,distilbert-base-uncased,[0.75 1.   0.   0.   0.   0.   1.   0.75 0.75],"['onnxport/distilbert-base-uncased-onnx', 'distilbert-base-cased', 'itsatarax/comprehenso', 'GSahana/bert-finetuned-squad', 'ultraleow/cloud4bert', 'esuriddick/distilbert-base-uncased-finetuned-emotion', 'distilbert-base-multilingual-cased', 'MultiBertGunjanPatrick/multiberts-seed-20', 'MultiBertGunjanPatrick/multiberts-seed-3']"
11,SamLowe/roberta-base-go_emotions,"[0.71428571 0.5        0.22222222 0.22222222 0.22222222 0.14285714
 0.5        0.2        0.22222222]","['bsingh/roberta_goEmotion', 'tasinhoque/roberta-large-go-emotions', 'seara/rubert-base-cased-ru-go-emotions', 'seara/rubert-tiny2-ru-go-emotions', 'seara/rubert-base-cased-cedr-russian-emotion', 'j-hartmann/emotion-english-distilroberta-base', 'tasinhoque/text-classification-goemotions', 'bdotloh/just-another-emotion-classifier', 'seara/rubert-tiny2-cedr-russian-emotion']"
12,roberta-base,[1.   0.   0.25 0.25 0.25 0.25 0.25 0.25 0.25],"['model-attribution-challenge/roberta-base', 'Gxl/234', 'macedonizer/al-roberta-base', 'macedonizer/hr-roberta-base', 'macedonizer/mk-roberta-base', 'macedonizer/sr-roberta-base', 'macedonizer/gr-roberta-base', 'flax-community/RoBERTa-large-finnish', 'macedonizer/ba-roberta-base']"
13,marieke93/MiniLM-evidence-types,"[1.         0.         0.66666667 0.66666667 0.66666667 0.66666667
 0.33333333 0.         0.66666667]","['marieke93/BERT-evidence-types', 'rasta/proverbes-french-IFT-7022', 'jayantapaul888/smalldata-pysentimiento-robertuito-eng-only-sentiment-single-finetuned-memes', 'MinaAlmasi/ES-ENG-mDeBERTa-sentiment', 'jayantapaul888/smalldata-twitter-data-microsoft-deberta-base-mnli-eng-only-sentiment-single-finetuned-memes', 'jayantapaul888/smalldata-microsoft-deberta-base-mnli-eng-only-sentiment-single-finetuned-memes', 'uisikdag/weed_beit_balanced', 'rasta/BART-FHIR-question', 'jayantapaul888/smalldata-microsoft-deberta-base-eng-only-sentiment-single-finetuned-memes']"
14,Ashishkr/query_wellformedness_score,"[0.33333333 0.33333333 0.         0.         0.         0.
 0.         0.         0.        ]","['EIStakovskii/camembert_base_fluency', 'EIStakovskii/bert-base-german-cased_fluency', 'zjkarina/LaBSE-instructDialogs', 'fuhsiao/BART-PMC-EXT-Section', 'sweepai/mpnet-code-search', 'AndriLawrence/gpt2-chatkobi-ai', 'Unbabel/gec-t5_small', 'aliosm/ComVE-distilgpt2', 'voidful/bart-eqg-question-generator']"
15,microsoft/resnet-50,[0.8  0.   0.2  0.25 0.   0.   0.4  0.4  0.4 ],"['microsoft/resnet-18', 'Axon/resnet50-v1', 'sgugger/resnet50d', 'mindspore-ai/resnet', 'Axon/resnet18-v1', 'Axon/resnet34-v1', 'timm/resnetv2_50d_evos.ah_in1k', 'torchxrayvision/resnet50-res512-all', 'timm/resnetv2_50d_gn.ah_in1k']"
16,albert-base-v2,"[1.         1.         0.66666667 0.66666667 0.66666667 0.66666667
 1.         1.         1.        ]","['albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'tftransformers/bert-large-uncased-whole-word-masking', 'tftransformers/bert-large-cased-whole-word-masking', 'bert-base-uncased', 'Contents/bert-base-uncased', 'mlcorelib/debertav2-base-uncased']"
17,bert-base-cased,[0.75 1.   0.75 0.75 1.   1.   0.75 0.   1.  ],"['tftransformers/bert-base-uncased', 'mlcorelib/debertav2-base-uncased', 'Gxg/OpNum_Bert_Merge', 'UKP-SQuARE/bert-base-cased-onnx', 'bert-base-uncased', 'Contents/bert-base-uncased', 'UKP-SQuARE/bert-base-uncased-onnx', 'TokenfreeEMNLPSubmission/bert-base-finetuned-masakhaner-zh', 'byeongal/bert-base-uncased']"
18,microsoft/deberta-base,[0.25 0.5  0.5  0.5  0.5  0.5  0.5  0.   0.5 ],"['microsoft/deberta-v2-xxlarge-mnli', 'microsoft/deberta-v2-xlarge', 'microsoft/deberta-xlarge-mnli', 'microsoft/deberta-large-mnli', 'microsoft/deberta-v2-xxlarge', 'microsoft/deberta-v3-base', 'microsoft/deberta-v3-xsmall', 'timpal0l/mdeberta-v3-base-squad2', 'microsoft/mdeberta-v3-base']"
19,microsoft/layoutlmv3-base,[1. 1. 1. 0. 0. 1. 0. 0. 0.],"['microsoft/layoutlmv3-base-chinese', 'microsoft/layoutlmv2-base-uncased', 'microsoft/layoutxlm-base', 'jinhybr/OCR-LayoutLMv3', 'Andyrasika/donut-base-sroie', 'microsoft/markuplm-base', 'SCUT-DLVCLab/lilt-roberta-en-base', 'SCUT-DLVCLab/lilt-infoxlm-base', 'hojland/lilt-xlm-roberta-base']"
20,CompVis/stable-diffusion-safety-checker,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['lambdalabs/stable-diffusion-image-conditioned', 'flavour/CLIP-ViT-B-16-DataComp.XL-s13B-b90K', 'bennyguo/zero123-diffusers', 'timm/vit_base_patch16_clip_224.openai', 'timm/vit_base_patch32_clip_224.openai', 'openai/clip-vit-large-patch14', 'apple/coreml-stable-diffusion-2-base-palettized', 'mattmdjaga/clip-vit-base-patch32_handler', 'SaulLu/clip-vit-base-patch32']"
21,distilbert-base-uncased-finetuned-sst-2-english,"[1.         1.         0.66666667 0.66666667 0.         0.
 0.33333333 0.33333333 0.5       ]","['51la5/distilbert-base-sentiment', 'Alanhau/test', 'optimum/distilbert-base-uncased-finetuned-sst-2-english', 'speeqo/distilbert-base-uncased-finetuned-sst-2-english', 'distilbert-base-cased-distilled-squad', 'distilbert-base-uncased-distilled-squad', 'Bictole/NLP_DEEP_2', 'AyoubChLin/distilbert_cnn_news', 'ahmettasdemir/distilbert-base-uncased-finetuned-emotion']"
22,camembert-base,[1.  1.  0.  1.  1.  0.  0.  0.5 0. ],"['nrnmnrn/dummy-model', 'Bugpie/dummy-model', 'camembert/camembert-large', 'DataikuNLP/camembert-base', 'SebastianS/dummy-model', 'gilf/french-camembert-postag-model', 'xlm-roberta-large-finetuned-conll03-german', 'pjox/dalembert', 'xlm-roberta-large-finetuned-conll03-english']"
23,distilbert-base-multilingual-cased,[0.5 1.  1.  0.5 0.  0.  0.5 1.  1. ],"['distilroberta-base', 'distilbert-base-uncased', 'distilbert-base-cased', 'onnxport/distilbert-base-uncased-onnx', 'distilbert-base-cased-distilled-squad', 'distilbert-base-uncased-distilled-squad', 'Addedk/kbbert-distilled-cased', 'Recognai/distilbert-base-es-multilingual-cased', 'bert-base-multilingual-uncased']"
24,stabilityai/stable-diffusion-2-1,[0.75 1.   1.   0.5  0.5  0.   0.5  1.   0.5 ],"['stabilityai/stable-diffusion-2', 'stabilityai/stable-diffusion-2-depth', 'stabilityai/stable-diffusion-2-inpainting', 'pcuenq/coreml-stable-diffusion-2-1-base', 'lmz/rust-stable-diffusion-v2-1', 'Itsme33/Modelx', 'CompVis/stable-diffusion-v-1-3-original', 'stabilityai/stable-diffusion-x4-upscaler', 'osanseviero/compvis_fix']"
25,google/electra-base-discriminator,[1. 0. 0. 0. 0. 0. 0. 0. 0.],"['google/electra-small-generator', 'mrm8488/electra-small-finetuned-squadv2', 'mrm8488/electricidad-base-generator', 'aubmindlab/araelectra-base-discriminator', 'krevas/finance-koelectra-base-generator', 'krevas/finance-koelectra-base-discriminator', 'ChristopherA08/IndoELECTRA', 'mrm8488/electra-base-finetuned-squadv1', 'mrm8488/legalectra-base-spanish']"
26,google/vit-base-patch16-224-in21k,[1.   1.   0.75 0.75 0.75 0.5  0.   0.25 0.25],"['google/vit-huge-patch14-224-in21k', 'google/vit-base-patch32-224-in21k', 'google/vit-base-patch32-384', 'google/vit-base-patch16-384', 'google/vit-base-patch16-224', 'optimum/vit-base-patch16-224', 'AkshatSurolia/ViT-FaceMask-Finetuned', 'nateraw/vit-base-patch16-224-cifar10', 'facebook/dinov2-base-imagenet1k-1-layer']"
27,Davlan/distilbert-base-multilingual-cased-ner-hrl,[1.  1.  0.  0.  0.  0.  0.  0.  0.5],"['Davlan/bert-base-multilingual-cased-ner-hrl', 'Davlan/xlm-roberta-large-ner-hrl', 'w11wo/javanese-bert-small', 'SariWetzler/tamar', 'w11wo/javanese-roberta-small', 'ai4bharat/indicwav2vec-hindi', 'w11wo/javanese-distilbert-small', 'google/bert2bert_L-24_wmt_de_en', 'uer/roberta-base-finetuned-cluener2020-chinese']"
28,bert-base-multilingual-cased,[1.  1.  1.  0.5 0.5 1.  1.  0.5 0.5],"['bert-base-multilingual-uncased', 'mlcorelib/debertav2-base-uncased', 'bert-base-cased', 'tftransformers/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'bert-base-uncased', 'Contents/bert-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'UKP-SQuARE/bert-base-uncased-onnx']"
29,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'lyeonii/bert-tiny', 'lyeonii/bert-uncased-L4-H128-A2', 'aajrami/bert-rand-small', 'dvm1983/TinyBERT_General_4L_312D_de', 'google/bert_uncased_L-2_H-128_A-2', 'aajrami/bert-sr-small', 'muhtasham/olm-bert-tiny-december-2022']"
30,yiyanghkust/finbert-tone,[0.   0.75 0.   0.25 0.75 0.   0.   0.75 0.5 ],"['FinanceInc/finbert-pretrain', 'Narsil/finbert2', 'philschmid/finbert-pretrain-yiyanghkust', 'FinanceInc/auditor_sentiment_finetuned', 'ahmedrachid/FinancialBERT-Sentiment-Analysis', 'ahmedrachid/FinancialBERT', 'SALT-NLP/FLANG-SpanBERT', 'ProsusAI/finbert', 'turing-usp/FinBertPTBR']"
31,Intel/dpt-hybrid-midas,"[0.75       0.5        0.         0.25       0.25       0.25
 0.25       0.         0.33333333]","['Intel/dpt-large', 'Intel/dpt-large-ade', 'facebook/deit-tiny-patch16-224', 'google/vit-base-patch16-224-in21k', 'google/vit-huge-patch14-224-in21k', 'google/vit-base-patch32-224-in21k', 'optimum/vit-base-patch16-224', 'facebook/deit-base-patch16-384', 'kakaobrain/vit-l16-coyo-labeled-300m-i1k512']"
32,QCRI/bert-base-multilingual-cased-pos-english,"[0.         0.25       0.         0.25       0.33333333 0.
 0.         0.         0.        ]","['robvanderg/bert-base-multilingual-cased-segment1', 'KBLab/bert-base-swedish-lowermix-reallysimple-ner', 'DeepPavlov/bert-base-multilingual-cased-sentence', 'KBLab/bert-base-swedish-cased-reallysimple-ner', 'ajtamayoh/NLP-CIC-WFU_Clinical_Cases_NER_Sents_tokenized_mBERT_cased_fine_tuned', 'Manirathinam21/M-Bert-base-cased-language-detection', 'Geotrend/bert-base-25lang-cased', 'ultraleow/cloud4bert', 'minhtriphan/LongFinBERT-base']"
33,distilroberta-base,"[0.5        0.         0.66666667 0.66666667 0.33333333 0.5
 0.33333333 0.         1.        ]","['distilbert-base-multilingual-cased', 'roberta-large-mnli', 'roberta-base', 'model-attribution-challenge/roberta-base', 'kjackson/distilbert-base-uncased-finetuned-emotion', 'iarfmoose/roberta-base-bulgarian', 'macedonizer/sr-roberta-base', 'xlm-roberta-large-finetuned-conll03-english', 'xlm-roberta-large-finetuned-conll02-dutch']"
34,allenai/longformer-base-4096,[0. 0. 0. 0. 1. 0. 0. 0. 0.],"['mrm8488/longformer-base-4096-finetuned-squadv2', 'mrm8488/longformer-base-4096-spanish', 'kiddothe2b/longformer-mini-1024', 'kiddothe2b/longformer-base-4096', 'allenai/longformer-base-4096-extra.pos.embd.only', 'AIMH/mental-longformer-base-4096', 'jpwahle/longformer-base-plagiarism-detection', 'valhalla/longformer-base-4096-finetuned-squadv1', 'Hitesh1501/Longformer']"
35,ProsusAI/finbert,[0.75 0.   0.75 0.5  0.5  0.   0.75 0.25 0.  ],"['Narsil/finbert2', 'FinanceInc/finbert-pretrain', 'yiyanghkust/finbert-tone', 'lucas-leme/FinBERT-PT-BR', 'turing-usp/FinBertPTBR', 'philschmid/finbert-pretrain-yiyanghkust', 'ahmedrachid/FinancialBERT-Sentiment-Analysis', 'kk08/CryptoBERT', 'SALT-NLP/FLANG-SpanBERT']"
36,t5-small,"[0.75       0.75       0.         0.25       0.25       0.33333333
 0.5        0.75       0.75      ]","['t5-3b', 't5-11b', 'KETI-AIR/ke-t5-base', 'google/t5-xxl-lm-adapt', 'google/t5-large-lm-adapt', 'google/t5-v1_1-base', 'birgermoell/t5-base-swedish', 'seduerr/t5-small-pytorch', 'tftransformers/t5-base']"
37,facebook/bart-large-mnli,"[0.66666667 0.66666667 0.5        0.         0.66666667 0.66666667
 0.         0.33333333 0.        ]","['Narsil/bart-large-mnli-opti', 'eleldar/theme-classification', 'Atharva192003/zero-shot-classfier', 'patrickvonplaten/bart-large-fp32', 'navteca/bart-large-mnli', 'oigele/Fb_improved_zeroshot', 'aware-ai/bart-squadv2', 'facebook/bart-large-cnn', 'valhalla/bart-large-finetuned-squadv1']"
38,bert-base-chinese,[1. 1. 1. 0. 1. 0. 1. 1. 1.],"['ptrsxu/bert-base-chinese', 'Seraphiive/bert-personalized-PreAlpha-uncased', 'Contents/bert-base-uncased-test', 'bert-large-cased-whole-word-masking-finetuned-squad', 'StevenLimcorn/MelayuBERT', 'bert-large-uncased-whole-word-masking-finetuned-squad', 'w11wo/javanese-bert-small', 'bert-base-multilingual-cased', 'optimum/bert-base-uncased-for-masked-lm']"
39,sentence-transformers/all-MiniLM-L6-v2,"[0.88461538 0.6        0.88461538 0.6        0.88461538 0.92
 0.6        0.6        0.6       ]","['sentence-transformers/all-MiniLM-L12-v2', 'optimum/all-MiniLM-L6-v2', 'sentence-transformers/all-distilroberta-v1', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-mpnet-base-v2', 'diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', 'sentence-transformers/all-roberta-large-v1', 'guidecare/all-mpnet-base-v2-feature-extraction']"
40,joeddav/xlm-roberta-large-xnli,"[0.6        0.71428571 0.71428571 0.42857143 0.66666667 0.66666667
 0.5        0.66666667 0.66666667]","['alan-turing-institute/mt5-large-finetuned-mnli-xtreme-xnli', 'MoritzLaurer/ernie-m-large-mnli-xnli', 'MoritzLaurer/mDeBERTa-v3-base-mnli-xnli', 'vicgalle/xlm-roberta-large-xnli-anli', 'morit/english_xlm_xnli', 'morit/french_xlm_xnli', 'Atharva192003/zero-shot-classfier', 'morit/spanish_xlm_xnli', 'oigele/Fb_improved_zeroshot']"
41,pyannote/segmentation,"[0.84615385 0.53846154 0.61538462 0.61538462 0.61538462 0.61538462
 0.69230769 0.61538462 0.53846154]","['philschmid/pyannote-segmentation', 'pyannote/embedding', 'pyannote/speaker-diarization', 'anilbs/pipeline', 'philschmid/pyannote-speaker-diarization-endpoint', 'paris-iea/speaker-diarization', 'pyannote/speaker-segmentation', 'KIFF/pyannote-speaker-diarization-endpoint', 'pyannote/brouhaha']"
42,facebook/musicgen-small,"[0.66666667 0.66666667 0.5        1.         1.         0.
 0.         0.         0.        ]","['LoopersClub/musicgen-small', 'reach-vb/musicgen-large-fp16-endpoint', 'cherrihart/musicgen-melody', 'facebook/musicgen-melody', 'facebook/audiogen-medium', 'cvssp/audioldm2-music', 'cvssp/audioldm2', 'ArthurZ/jukebox-1b-lyrics', 'ircam-reach/musicldm']"
43,distilgpt2,"[0.66666667 0.33333333 0.33333333 0.33333333 0.33333333 0.33333333
 0.5        0.33333333 0.33333333]","['Sussybaka/gpt2wilkinscoffee', 'XBOT-RK/distilgpt2-wiki-qa', '0Tick/e621TagAutocomplete', 'baotoan2002/GPT-2', 'geralt/MechDistilGPT2', '0Tick/danbooruTagAutocomplete', 'dbmdz/german-gpt2', 'overenginar/gpt2-oasst', 'EleutherAI/gpt-neo-2.7B']"
44,ckiplab/bert-base-chinese-ner,"[0.         0.         0.         0.         0.         0.
 0.         0.         0.33333333]","['DMetaSoul/sbert-chinese-general-v1-distill', 'DMetaSoul/sbert-chinese-general-v2', 'Herais/pred_genre', 'HillZhang/pseudo_native_bart_CGEC_media', 'IDEA-CCNL/Wenzhong2.0-GPT2-110M-BertTokenizer-chinese', 'Laurie/baichuan-7b-lora-alpaca-cn', 'bongsoo/albert-small-kor-sbert-v1', 'bongsoo/albert-small-kor-sbert-v1.1', 'alibaba-pai/pai-bert-tiny-zh']"
45,j-hartmann/emotion-english-distilroberta-base,"[0.85714286 0.5        0.33333333 0.5        0.25       0.33333333
 0.14285714 0.5        0.5       ]","['j-hartmann/emotion-english-roberta-large', 'ahmettasdemir/distilbert-base-uncased-finetuned-emotion', 'w11wo/sundanese-roberta-base-emotion-classifier', 'neel-jotaniya/emotion-advance-classifier', 'w11wo/indonesian-roberta-base-prdect-id', 'daveni/twitter-xlm-roberta-emotion-es', 'bsingh/roberta_goEmotion', 'yting27/pba1-emotion-classification', 'LEIA/LEIA-base']"
46,pyannote/speaker-diarization,"[0.9        0.89473684 0.9        0.89473684 0.53846154 0.35294118
 0.61538462 0.83333333 0.2       ]","['paris-iea/speaker-diarization', 'philschmid/pyannote-speaker-diarization-endpoint', 'anilbs/pipeline', 'KIFF/pyannote-speaker-diarization-endpoint', 'pyannote/embedding', 'pyannote/brouhaha', 'pyannote/segmentation', 'pyannote/speaker-segmentation', 'funasr/Paraformer-large']"
47,mosaicml/mpt-7b-instruct,"[0.83333333 0.83333333 0.83333333 0.8        0.83333333 0.83333333
 1.         1.         0.83333333]","['k0t1k/mosaicml-mpt-7b-instruct-lora', 'gl198976/mpt-7b-instruct', 'Trelis/mpt-7b-instruct-hosted-inference-8bit', 'blackmount8/mpt-7b-instruct-ct2-int8_float16', 'michaelfeil/ct2fast-mpt-7b-instruct', 'eluzhnica/mpt-7b-instruct-peft-compatible', 'mosaicml/mpt-7b-8k-instruct', 'mosaicml/mpt-30b-instruct', 'eluzhnica/mpt-7b-8k-instruct-peft-compatible']"
48,bigscience/bloom-560m,[1.  0.  1.  0.5 1.  1.  1.  0.5 1. ],"['bigscience/bloom-1b7', 'papahawk/keya-560m', 'bigscience/bloom-7b1', 'model-attribution-challenge/bloom-350m', 'bigscience/distill-bloom-1b3', 'bigscience/distill-bloom-1b3-10x', 'bigscience/bloom-3b', 'model-attribution-challenge/bloom-560m', 'bigscience/bloom-1b1']"
49,facebook/bart-large-cnn,"[0.         0.5        0.         0.33333333 0.         0.25
 0.         0.         0.        ]","['patrickvonplaten/bart-large-fp32', 'facebook/bart-large', 'tftransformers/bart-base', 'ML-unipi/bart-large-tos', 'vedu/bart-large-perturbed', 'Gabriel/bart-base-cnn-swe', 'McGill-NLP/bart-qg-nq-checkpoint', 'aware-ai/bart-squadv2', 'byeongal/bart-base']"
