,Model,Intersection,Ranked Results
14,Ashishkr/query_wellformedness_score,"[0.33333333 0.         0.         0.         0.33333333 0.
 0.         0.25       0.        ]","['EIStakovskii/camembert_base_fluency', 'sweepai/mpnet-code-search', 'EIStakovskii/LaBSE-fr-de', 'SaulLu/albert-bn-dev', 'EIStakovskii/bert-base-german-cased_fluency', 'cointegrated/LaBSE-en-ru', 'pinecone/mpnet-retriever-discourse', 'himanshubeniwal/bert_cl_cf_1700', '1-800-BAD-CODE/punctuation_fullstop_truecase_english']"
15,microsoft/resnet-50,[0.6  0.6  0.4  0.6  0.4  0.4  0.25 0.6  0.25],"['google/mobilenet_v1_1.0_224', 'google/mobilenet_v1_0.75_192', 'facebook/convnextv2-huge-22k-512', 'facebook/convnextv2-tiny-1k-224', 'facebook/convnextv2-base-22k-224', 'facebook/convnextv2-tiny-22k-384', 'timm/resnetaa50d.d_in12k', 'optimum/vit-base-patch16-224', 'google/vit-base-patch16-224-in21k']"
16,albert-base-v2,"[1.         1.         0.66666667 0.66666667 0.         0.33333333
 0.33333333 0.33333333 0.33333333]","['albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'Gxl/234', 'macedonizer/ba-roberta-base', 'macedonizer/al-roberta-base', 'nielsr/coref-roberta-base', 'nielsr/coref-bert-base']"
17,bert-base-cased,[0.75 1.   0.75 1.   1.   0.75 1.   0.75 0.75],"['tftransformers/bert-base-uncased', 'mlcorelib/debertav2-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'bert-base-uncased', 'Contents/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'byeongal/bert-base-uncased', 'UKP-SQuARE/bert-base-uncased-onnx', 'MultiBertGunjanPatrick/multiberts-seed-3']"
18,microsoft/deberta-base,"[0.         0.         0.         0.         0.5        0.33333333
 0.5        0.33333333 0.33333333]","['Intel/bert-mini-sst2-distilled-sparse-90-1X4-block', 'colinswaelens/DBBErt', 'Intel/bert-large-uncased-squadv1.1-sparse-80-1x4-block-pruneofa', 'susumu2357/bert-base-swedish-squad2', 'OpenMatch/cocodr-base-msmarco-warmup', 'l3cube-pune/marathi-bert-smaller', 'microsoft/deberta-v3-base', 'monologg/kobigbird-bert-base', 'microsoft/MiniLM-L12-H384-uncased']"
19,microsoft/layoutlmv3-base,[1. 0. 0. 1. 0. 0. 0. 0. 0.],"['microsoft/layoutlmv3-base-chinese', 'hojland/lilt-xlm-roberta-base', 'Andyrasika/donut-base-sroie', 'microsoft/layoutlmv2-base-uncased', 'SBB/eynollah-textline_light', 'SBB/eynollah-main-regions', 'SBB/eynollah-textline', 'SBB/eynollah-tables', 'SBB/eynollah-page-extraction']"
20,CompVis/stable-diffusion-safety-checker,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['timm/vit_base_patch16_clip_224.openai', 'adhamelarabawy/human_presence_classifier', 'timm/vit_base_patch32_clip_224.openai', 'nickmuchi/yolos-small-finetuned-masks', 'mattmdjaga/clip-vit-base-patch32_handler', 'Ajibola/PaViT', 'ScottMueller/Cats_v_Dogs.ONNX', 'openai/clip-vit-large-patch14', 'timm/eva_giant_patch14_560.m30m_ft_in22k_in1k']"
21,distilbert-base-uncased-finetuned-sst-2-english,[1.  1.  0.  0.  0.5 0.  0.  0.  0.5],"['51la5/distilbert-base-sentiment', 'Alanhau/test', 'dimpo/bert-pretrained-wikitext-2-raw-v1', 'princeton-nlp/unsup-simcse-bert-base-uncased', 'AlGe/deberta-v3-large_seq_ratio', 'kiddothe2b/hierarchical-transformer-I3-mini-1024', 'kiddothe2b/hierarchical-transformer-EC2-mini-1024', 'kiddothe2b/hierarchical-transformer-LC1-mini-1024', 'AlGe/deberta-v3-large_AIS-Int-Ratio']"
22,camembert-base,[1.  1.  0.  0.  0.5 1.  0.  1.  0. ],"['nrnmnrn/dummy-model', 'Bugpie/dummy-model', 'typeform/distilbert-base-uncased-mnli', 'dbmdz/electra-base-turkish-cased-discriminator', 'lexlms/legal-roberta-base', 'xlm-roberta-large-finetuned-conll02-spanish', 'dbmdz/convbert-base-turkish-cased', 'xlm-roberta-large-finetuned-conll02-dutch', 'DrewG/AAVE_PoS-Tagger']"
23,distilbert-base-multilingual-cased,[0.  0.  0.5 0.5 1.  0.  0.5 1.  1. ],"['Manirathinam21/M-Bert-base-cased-language-detection', 'itsatarax/comprehenso', 'aking11/hyebert', 'cl-tohoku/bert-base-japanese-v3', 'optimum/bert-base-uncased-for-masked-lm', 'tftransformers/gpt2-medium', 'google/canine-s', 'distilbert-base-cased', 'bert-base-multilingual-uncased']"
24,stabilityai/stable-diffusion-2-1,[1.   0.   0.5  0.75 0.5  0.5  0.5  0.5  0.5 ],"['stabilityai/stable-diffusion-2-depth', 'Itsme33/Modelx', 'FahimF/StableDiffusion-2.1_512_EINSUM_img2img', 'stabilityai/stable-diffusion-2', 'jutaporn37678/stable-diffusion-v1-0', 'pain/CalliarGen-v2', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT']"
25,google/electra-base-discriminator,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['mrm8488/legalectra-base-spanish', 'krevas/finance-koelectra-base-discriminator', 'mrm8488/electricidad-base-generator', 'Finnish-NLP/convbert-base-generator-finnish', 'Finnish-NLP/convbert-base-finnish', 'Finnish-NLP/roberta-large-wechsel-finnish', 'ChristopherA08/IndoELECTRA', 'mrm8488/biomedtra-small-es', 'mrm8488/electricidad-base-discriminator']"
26,google/vit-base-patch16-224-in21k,[1.   1.   0.75 0.75 0.75 0.5  0.5  0.5  0.25],"['google/vit-huge-patch14-224-in21k', 'google/vit-base-patch32-224-in21k', 'google/vit-base-patch16-224', 'google/vit-base-patch16-384', 'google/vit-base-patch32-384', 'optimum/vit-base-patch16-224', 'facebook/dino-vits16', 'facebook/dino-vits8', 'nateraw/vit-base-patch16-224-cifar10']"
27,Davlan/distilbert-base-multilingual-cased-ner-hrl,[1.  1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['Davlan/bert-base-multilingual-cased-ner-hrl', 'Davlan/xlm-roberta-large-ner-hrl', '51la5/bert-large-NER', 'dslim/bert-base-NER', 'osiria/bert-italian-uncased-ner', 'optimum/bert-base-NER', 'osiria/bert-italian-cased-ner', 'osiria/distilbert-italian-cased-ner', 'Kansallisarkisto/finbert-ner']"
28,bert-base-multilingual-cased,[1.  1.  1.  1.  0.5 1.  0.5 1.  1. ],"['bert-base-multilingual-uncased', 'mlcorelib/debertav2-base-uncased', 'baseten/docs-example-gated-model', 'bert-base-cased', 'tftransformers/bert-base-uncased', 'byeongal/bert-base-uncased', 'Gxg/OpNum_Bert_Merge', 'bert-base-uncased', 'Contents/bert-base-uncased']"
29,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'GroNLP/bert-base-dutch-cased-upos-alpino', 'Josue/BETO-espanhol-Squad2', 'mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es', 'dccuchile/bert-base-spanish-wwm-uncased', 'google/multiberts-seed_0-step_40k', 'l3cube-pune/me-bert', 'wiselinjayajos/finetuned-bert-mrpc']"
30,yiyanghkust/finbert-tone,[0.   0.   0.75 0.75 0.25 0.   0.75 0.5  0.5 ],"['philschmid/finbert-pretrain-yiyanghkust', 'FinanceInc/finbert-pretrain', 'ahmedrachid/FinancialBERT-Sentiment-Analysis', 'Narsil/finbert2', 'soleimanian/financial-roberta-large-sentiment', 'ahmedrachid/FinancialBERT', 'ProsusAI/finbert', 'mstafam/fine-tuned-bert-financial-sentiment-analysis', 'yiyanghkust/finbert-fls']"
31,Intel/dpt-hybrid-midas,[0.75 0.25 0.   0.5  0.5  0.   0.   0.   0.  ],"['Intel/dpt-large', 'sail/poolformer_s12', 'keras-io/monocular-depth-estimation', 'vinvino02/glpn-kitti', 'vinvino02/glpn-nyu', 'MBZUAI/swiftformer-l3', 'MBZUAI/swiftformer-l1', 'MBZUAI/swiftformer-xs', 'deepmind/optical-flow-perceiver']"
32,QCRI/bert-base-multilingual-cased-pos-english,"[0.33333333 0.25       0.         0.25       0.25       0.25
 0.33333333 0.25       0.25      ]","['colinswaelens/DBBErt', 'KoichiYasuoka/roberta-base-japanese-char-luw-upos', 'swagat-panda/multilingual-pos-tagger-language-detection-indian-context-muril', 'mrm8488/bert-spanish-cased-finetuned-pos', 'KoichiYasuoka/bert-base-german-upos', 'megantosh/flair-arabic-dialects-codeswitch-egy-lev', 'new5558/HoogBERTa-POS-lst20', 'KoichiYasuoka/bert-base-japanese-unidic-luw-upos', 'KoichiYasuoka/deberta-large-japanese-upos']"
33,distilroberta-base,"[0.         0.33333333 0.5        0.         0.33333333 0.33333333
 0.33333333 0.33333333 0.33333333]","['openai-gpt', 'joelniklaus/legal-swiss-longformer-base', 'distilbert-base-multilingual-cased', 'joelniklaus/legal-english-longformer-base', 'joelniklaus/legal-swiss-roberta-base', 'joelniklaus/legal-english-roberta-large', 'joelniklaus/legal-croatian-roberta-base', 'joelniklaus/legal-portuguese-roberta-base', 'joelniklaus/legal-xlm-roberta-base']"
34,allenai/longformer-base-4096,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['mrm8488/longformer-base-4096-spanish', 'AIMH/mental-longformer-base-4096', 'zeusfsx/instruction-detection', 'kazzand/ru-longformer-base-4096', 'uer/bart-base-chinese-cluecorpussmall', 'uer/pegasus-base-chinese-cluecorpussmall', 'ipipan/herbert-base-qa-v1', 'Hitesh1501/Longformer', 'Salesforce/ctrl']"
35,ProsusAI/finbert,[0.75 0.25 0.75 0.5  0.5  0.75 0.75 0.25 0.75],"['Narsil/finbert2', 'soleimanian/financial-roberta-large-sentiment', 'ahmedrachid/FinancialBERT-Sentiment-Analysis', 'lucas-leme/FinBERT-PT-BR', 'mstafam/fine-tuned-bert-financial-sentiment-analysis', 'warwickai/fin-perceiver', 'bardsai/finance-sentiment-zh-base', 'cometrain/stocks-news-t5', 'yiyanghkust/finbert-tone']"
36,t5-small,[0.75 0.75 0.   0.   0.   0.   0.   0.   0.  ],"['t5-11b', 't5-3b', 'KETI-AIR/ke-t5-base', 'Writer/palmyra-base', 'mrm8488/t5-base-finetuned-quartz', 'Davit6174/georgian-distilbert-mlm', 'cointegrated/rubert-base-cased-nli-threeway', 'mrm8488/t5-small-finetuned-squadv1', 'mrm8488/t5-small-finetuned-squadv2']"
37,facebook/bart-large-mnli,"[0.66666667 0.66666667 0.5        0.         0.         0.
 0.         0.         0.        ]","['Narsil/bart-large-mnli-opti', 'eleldar/theme-classification', 'Atharva192003/zero-shot-classfier', 'google/t5-xxl-lm-adapt', 'google/t5-large-lm-adapt', 'Finnish-NLP/electra-base-generator-finnish', 'Finnish-NLP/electra-base-discriminator-finnish', 'Finnish-NLP/convbert-base-generator-finnish', 'Finnish-NLP/convbert-base-finnish']"
38,bert-base-chinese,[1. 1. 1. 1. 0. 1. 1. 1. 1.],"['ptrsxu/bert-base-chinese', 'monsoon-nlp/muril-adapted-local', 'Seraphiive/bert-personalized-PreAlpha-uncased', 'ku-accms/bert-base-japanese-ssuw', 'MilaNLProc/bert-base-uncased-ear-mlma', 'yugen-ok/bibert-v0.1', 'l3cube-pune/hing-bert', 'DunnBC22/bert-base-uncased-Masked_Language_Model-US_Economic_News_Articles', 'DunnBC22/bert-base-uncased-Masked_Language_Modeling-Reddit_Comments']"
39,sentence-transformers/all-MiniLM-L6-v2,"[0.6        0.88461538 0.88461538 0.6        0.6        0.88461538
 0.92       0.6        0.6       ]","['optimum/all-MiniLM-L6-v2', 'sentence-transformers/all-MiniLM-L12-v2', 'sentence-transformers/all-distilroberta-v1', 'sentence-transformers/all-roberta-large-v1', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-mpnet-base-v2', 'diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', 'optimum/sbert-all-MiniLM-L6-with-pooler']"
40,joeddav/xlm-roberta-large-xnli,"[0.6        0.66666667 0.5        0.33333333 0.5        0.5
 0.33333333 0.25       0.        ]","['alan-turing-institute/mt5-large-finetuned-mnli-xtreme-xnli', 'mjwong/multilingual-e5-large-xnli', 'mjwong/multilingual-e5-large-xnli-anli', 'eleldar/language-detection', 'ERCDiDip/40_langdetect_v01', 'ERCDiDip/langdetect', 'papluca/xlm-roberta-base-language-detection', 'mjwong/e5-base-v2-mnli-anli', 'taishi-i/nagisa_bert']"
41,pyannote/segmentation,"[0.84615385 0.5        0.23076923 0.53846154 0.         0.28571429
 0.         0.28571429 0.28571429]","['philschmid/pyannote-segmentation', 'marlenezw/AutoVC_Voice_Conversion', 'nvidia/speakerverification_en_titanet_large', 'pyannote/embedding', 'bofenghuang/wav2vec2-xls-r-1b-voxpopuli-fr', 'facebook/wav2vec2-conformer-rope-large-100h-ft', 'bene-ges/tts_ru_hifigan_ruslan', 'superb/wav2vec2-base-superb-sid', 'superb/hubert-base-superb-sid']"
42,facebook/musicgen-small,"[0.66666667 0.66666667 1.         0.5        0.         0.
 0.         0.         0.        ]","['LoopersClub/musicgen-small', 'reach-vb/musicgen-large-fp16-endpoint', 'facebook/musicgen-melody', 'cherrihart/musicgen-melody', 'ircam-reach/musicldm', 'cvssp/audioldm2-music', 'cvssp/audioldm2', 'musika/musika-halvany_oszi_rozsa', 'declare-lab/tango']"
43,distilgpt2,"[0.66666667 0.33333333 0.33333333 0.33333333 0.33333333 0.
 0.5        0.33333333 0.33333333]","['Sussybaka/gpt2wilkinscoffee', 'uer/gpt2-chinese-cluecorpussmall', 'Epivolis/enforcer-alpha-3b', 'gretelai/mpt-7b', 'opentensor/bt-opt-1.3b', 'minimaxir/magic-the-gathering-flan-t5-xl', 'Tanrei/GPTSAN-japanese', 'kernelmachine/silo-pdswby-1.3b', 'speechlessai/speechless-codellama-dolphin-orca-platypus-13b']"
44,ckiplab/bert-base-chinese-ner,"[0.16666667 0.16666667 0.16666667 0.16666667 0.         0.
 0.         0.16666667 0.16666667]","['KoichiYasuoka/bert-base-japanese-unidic-luw-upos', 'KoichiYasuoka/roberta-base-ainu-upos', 'KoichiYasuoka/roberta-base-japanese-char-luw-upos', 'KoichiYasuoka/bert-base-japanese-luw-upos', 'Bingsu/vitB32_bert_ko_small_clip', 'studio-ousia/luke-japanese-large', 'IDEA-CCNL/Wenzhong2.0-GPT2-110M-BertTokenizer-chinese', 'KoichiYasuoka/deberta-base-ainu-upos', 'yacht/latte-mc-bert-base-chinese-ws']"
45,j-hartmann/emotion-english-distilroberta-base,"[0.5        0.2        0.5        0.5        0.5        0.42857143
 0.5        0.33333333 0.2       ]","['ahmettasdemir/distilbert-base-uncased-finetuned-emotion', 'SchuylerH/bert-multilingual-go-emtions', 'neel-jotaniya/emotion-advance-classifier', 'BiaDd/emotion-model', 'yting27/pba1-emotion-classification', 'vamossyd/emtract-distilbert-base-uncased-emotion', 'laxsvips/minilm-finetuned-emotion', 'patrickramos/bert-base-japanese-v2-wrime-fine-tune', 'KBLab/emotional-classification']"
46,pyannote/speaker-diarization,"[0.9        0.89473684 0.9        0.18181818 0.125      0.25
 0.21428571 0.25       0.16666667]","['paris-iea/speaker-diarization', 'philschmid/pyannote-speaker-diarization-endpoint', 'anilbs/pipeline', 'leonardvorbeck/wav2vec2-large-robust-LS960', 'AndyGo/speechbrain-asr-crdnn-rnnlm-buriy-audiobooks-2-val', 'spktsagar/wav2vec2-large-xls-r-300m-nepali-openslr', 'nvidia/stt_fr_conformer_transducer_large', 'AntonyG/fine-tune-wav2vec2-large-xls-r-1b-sw', 'facebook/wav2vec2-large-robust']"
47,mosaicml/mpt-7b-instruct,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.8
 0.33333333 0.33333333 0.16666667]","['k0t1k/mosaicml-mpt-7b-instruct-lora', 'gl198976/mpt-7b-instruct', 'Trelis/mpt-7b-instruct-hosted-inference-8bit', 'michaelfeil/ct2fast-mpt-7b-instruct', 'eluzhnica/mpt-7b-instruct-peft-compatible', 'blackmount8/mpt-7b-instruct-ct2-int8_float16', 'Ali-C137/falcon-7b-QLoRA-alpaca-arabic', 'crscardellino/xi-ciai-cba-martin-fierro', 'aubmindlab/aragpt2-mega']"
48,bigscience/bloom-560m,[1.  0.  0.5 0.5 0.5 0.5 0.  0.5 0. ],"['bigscience/bloom-1b7', 'papahawk/keya-560m', 'Rardilit/Panther_v1', 'heegyu/llama-7b-easylm', 'Agtian/llama-65b-int4', 'sharpbai/llama-7b-hf', 'ltg/norbert2', 'alexl83/LLaMA-33B-HF', 'distilroberta-base']"
49,facebook/bart-large-cnn,[0.  0.5 0.  0.  0.  0.  0.  0.  0. ],"['patrickvonplaten/bart-large-fp32', 'facebook/bart-large', 'tftransformers/bart-base', 'google/long-t5-tglobal-base', 'agemagician/mlong-t5-tglobal-base', 'vedu/bart-large-perturbed', 'flax-community/pino-bigbird-roberta-base', 'stockmark/bart-base-japanese-news', 'google/bigbird-roberta-base']"
