,Model,Intersection,Ranked Results
14,Ashishkr/query_wellformedness_score,[0.   0.   0.   0.   0.   0.   0.   0.   0.25],"['1-800-BAD-CODE/xlm-roberta_punctuation_fullstop_truecase', 'ibm/qcpg-sentences', 'IDEA-CCNL/Erlangshen-DeBERTa-v2-186M-Chinese-SentencePiece', 'cointegrated/LaBSE-en-ru', 'megagonlabs/roberta-long-japanese', 'aliosm/ComVE-gpt2', 'aliosm/ComVE-distilgpt2', 'Collab-uniba/github-issues-preprocessed-mpnet-st-e10', 'marmolpen3/sla-obligations-rights']"
15,microsoft/resnet-50,"[0.6        0.6        0.4        0.6        0.4        0.25
 0.25       0.25       0.33333333]","['google/mobilenet_v1_1.0_224', 'google/mobilenet_v1_0.75_192', 'Aalaa/Fine_tuned_Vit_trash_classification', 'facebook/convnext-tiny-224', 'facebook/convnext-base-224-22k', 'google/vit-base-patch16-224-in21k', 'google/vit-huge-patch14-224-in21k', 'google/vit-base-patch32-224-in21k', 'kakaobrain/vit-l16-coyo-labeled-300m-i1k512']"
16,albert-base-v2,"[1.         1.         0.66666667 0.66666667 0.         0.33333333
 1.         1.         0.33333333]","['albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'Gxl/234', 'macedonizer/ba-roberta-base', 'roberta-base', 'model-attribution-challenge/roberta-base', 'macedonizer/al-roberta-base']"
17,bert-base-cased,[0.75 1.   0.75 1.   1.   0.75 1.   0.75 0.75],"['tftransformers/bert-base-uncased', 'mlcorelib/debertav2-base-uncased', 'Gxg/OpNum_Bert_Merge', 'bert-base-uncased', 'Contents/bert-base-uncased', 'UKP-SQuARE/bert-base-cased-onnx', 'byeongal/bert-base-uncased', 'UKP-SQuARE/bert-base-uncased-onnx', 'MultiBertGunjanPatrick/multiberts-seed-20']"
18,microsoft/deberta-base,"[0.         0.         0.33333333 0.         0.         1.
 0.33333333 0.         0.        ]","['Intel/bert-mini-sst2-distilled-sparse-90-1X4-block', 'lyeonii/bert-uncased-L4-H128-A2', 'l3cube-pune/marathi-bert-smaller', 'Intel/bert-large-uncased-squadv1.1-sparse-80-1x4-block-pruneofa', 'radbrt/nb_nocy_trf', 'bert-base-chinese', 'slone/bert-tiny-char-ctc-bak-denoise', 'lyeonii/bert-tiny', 'neuralmagic/bert-large-uncased-finetuned-squadv1']"
19,microsoft/layoutlmv3-base,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['Teklia/doc-ufcn-generic-historical-line', 'jinhybr/OCR-LayoutLMv3', 'Andyrasika/donut-base-sroie', 'Langboat/mengzi-oscar-base', 'johko/capdec_015', 'johko/capdec_005', 'johko/capdec_025', 'johko/capdec_05', 'johko/capdec_0']"
20,CompVis/stable-diffusion-safety-checker,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['cafeai/cafe_aesthetic', 'sdfhg5243/pepe', 'bethecloud/golf-course-generator', 'gwang-kim/datid3d-finetuned-eg3d-models', 'timm/regnety_032.ra_in1k', 'timm/regnety_160.sw_in12k', 'timm/regnety_120.sw_in12k', 'timm/regnety_120.sw_in12k_ft_in1k', 'timm/regnety_160.deit_in1k']"
21,distilbert-base-uncased-finetuned-sst-2-english,"[1.         1.         0.         0.         0.         0.
 0.         0.         0.33333333]","['51la5/distilbert-base-sentiment', 'Alanhau/test', 'kiddothe2b/hierarchical-transformer-LC1-mini-1024', 'kiddothe2b/hierarchical-transformer-EC2-mini-1024', 'kiddothe2b/hierarchical-transformer-I3-mini-1024', 'kiddothe2b/longformer-mini-1024', 'Davit6174/georgian-distilbert-mlm', 'PlanTL-GOB-ES/RoBERTalex', 'kauffinger/scibert_scivocab_uncased-mnli']"
22,camembert-base,[0.  0.5 0.  1.  0.  0.5 0.5 0.5 0.5],"['projecte-aina/mbert-base-gencata', 'PlanTL-GOB-ES/roberta-base-ca', 'joeddav/xlm-roberta-large-xnli', 'xlm-mlm-xnli15-1024', 'dbmdz/electra-base-turkish-cased-discriminator', 'osiria/flare-it', 'joelniklaus/legal-portuguese-roberta-base', 'PlanTL-GOB-ES/bsc-bio-ehr-es', 'usmiva/bert-web-bg']"
23,distilbert-base-multilingual-cased,[0.5 1.  1.  0.  1.  1.  0.  0.5 0. ],"['roberta-large-mnli', 'distilbert-base-cased', 'distilbert-base-uncased', 'pkshatech/simcse-ja-bert-base-clcmlp', 'osiria/blaze-it', 'asafaya/bert-base-arabic', 'ultraleow/cloud4bert', 'google/canine-s', 'byeongal/gpt2-large']"
24,stabilityai/stable-diffusion-2-1,[1.   0.75 0.5  1.   0.25 0.25 0.25 0.25 0.25],"['stabilityai/stable-diffusion-2-depth', 'stabilityai/stable-diffusion-2', 'lmz/rust-stable-diffusion-v2-1', 'stabilityai/stable-diffusion-2-inpainting', 'lllyasviel/control_v11p_sd15_canny', 'lllyasviel/control_v11p_sd15_lineart', 'lllyasviel/control_v11p_sd15_inpaint', 'OrderAndChaos/controlnet-inpaint-endpoint', 'lllyasviel/control_v11e_sd15_ip2p']"
25,google/electra-base-discriminator,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['mrm8488/legalectra-base-spanish', 'krevas/finance-koelectra-base-discriminator', 'mrm8488/biomedtra-small-es', 'Finnish-NLP/convbert-base-finnish', 'Finnish-NLP/electra-base-discriminator-finnish', 'krevas/finance-koelectra-base-generator', 'xlnet-base-cased', 'Finnish-NLP/convbert-base-generator-finnish', 'macedonizer/al-roberta-base']"
26,google/vit-base-patch16-224-in21k,"[1.         1.         0.75       0.75       0.75       0.5
 0.33333333 0.25       0.25      ]","['google/vit-huge-patch14-224-in21k', 'google/vit-base-patch32-224-in21k', 'google/vit-base-patch16-224', 'google/vit-base-patch16-384', 'google/vit-base-patch32-384', 'optimum/vit-base-patch16-224', 'kakaobrain/vit-l16-coyo-labeled-300m-i1k512', 'facebook/dinov2-base-imagenet1k-1-layer', 'nateraw/vit-base-patch16-224-cifar10']"
27,Davlan/distilbert-base-multilingual-cased-ner-hrl,[1.  1.  0.5 0.5 0.5 0.5 0.5 0.  0.5],"['Davlan/bert-base-multilingual-cased-ner-hrl', 'Davlan/xlm-roberta-large-ner-hrl', 'dslim/bert-base-NER', '51la5/bert-large-NER', 'optimum/bert-base-NER', 'Kansallisarkisto/finbert-ner', 'Babelscape/wikineural-multilingual-ner', 'arhamk/llama2-finance-sft', 'osiria/bert-italian-uncased-ner']"
28,bert-base-multilingual-cased,[1.  1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['bert-base-multilingual-uncased', 'baseten/docs-example-gated-model', 'MultiBertGunjanPatrick/multiberts-seed-3', 'MultiBertGunjanPatrick/multiberts-seed-20', 'MultiBertGunjanPatrick/multiberts-seed-1-0k', 'MultiBertGunjanPatrick/multiberts-seed-1-1600k', 'MultiBertGunjanPatrick/multiberts-seed-1-1000k', 'MultiBertGunjanPatrick/multiberts-seed-1-20k', 'MultiBertGunjanPatrick/multiberts-seed-1-1300k']"
29,prajjwal1/bert-small,"[1.         0.83333333 0.         0.         0.         0.
 0.         0.         0.        ]","['prajjwal1/bert-mini', 'harshil10/birt_tiny', 'GroNLP/bert-base-dutch-cased-upos-alpino', 'dumitrescustefan/bert-base-romanian-cased-v1', 'dumitrescustefan/bert-base-romanian-uncased-v1', 'mrm8488/bert-base-spanish-wwm-cased-finetuned-spa-squad2-es', 'Josue/BETO-espanhol-Squad2', 'jorgeortizfuentes/tulio-bert', 'l3cube-pune/marathi-bert-v2']"
30,yiyanghkust/finbert-tone,[0.   0.   0.75 0.   0.25 0.25 0.75 0.   0.75],"['philschmid/finbert-pretrain-yiyanghkust', 'FinanceInc/finbert-pretrain', 'Narsil/finbert2', 'NlpHUST/vibert4news-base-cased', 'soleimanian/financial-roberta-large-sentiment', 'faycadnz/IMFBERT_binary', 'nickmuchi/sec-bert-finetuned-finance-classification', 'KETI-AIR/ke-t5-base', 'ahmedrachid/FinancialBERT-Sentiment-Analysis']"
31,Intel/dpt-hybrid-midas,[0.75 0.25 0.25 0.25 0.25 0.25 0.25 0.   0.25],"['Intel/dpt-large', 'Sense-X/uniformer_image', 'sail/poolformer_s12', 'google/mobilenet_v1_1.0_224', 'keras-io/cct', 'Zetatech/pvt-tiny-224', 'google/mobilenet_v1_0.75_192', 'nasa-cisto-data-science-group/satvision-base', 'microsoft/beit-base-patch16-224-pt22k-ft22k']"
32,QCRI/bert-base-multilingual-cased-pos-english,"[0.33333333 0.         0.25       0.25       0.25       0.25
 0.25       0.25       0.25      ]","['colinswaelens/DBBErt', 'swagat-panda/multilingual-pos-tagger-language-detection-indian-context-muril', 'tadejmagajna/flair-sl-pos', 'KoichiYasuoka/bert-base-german-upos', 'flair/upos-english-fast', 'flair/upos-multi-fast', 'chcaa/da_dacy_medium_trf', 'KoichiYasuoka/bert-base-russian-upos', 'flair/upos-multi']"
33,distilroberta-base,"[0.         0.         0.         0.33333333 0.         0.
 0.33333333 0.33333333 0.        ]","['openai-gpt', 'Rardilit/Panther_v1', 'Writer/palmyra-base', 'joelniklaus/legal-swiss-longformer-base', 'joelniklaus/legal-english-longformer-base', 'roberta-large-mnli', 'joelniklaus/legal-english-roberta-large', 'joelniklaus/legal-swiss-roberta-base', 'ZX9966/bwx-7B-hf']"
34,allenai/longformer-base-4096,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['mrm8488/longformer-base-4096-spanish', 'AIMH/mental-longformer-base-4096', 'mrm8488/longformer-base-4096-finetuned-squadv2', 'sebastian-hofstaetter/idcm-distilbert-msmarco_doc', 'mrm8488/legal-longformer-base-8192-spanish', 'Hitesh1501/Longformer', 'usvsnsp/code-vs-nl', 'tomaarsen/span-marker-xlm-roberta-large-conll03-doc-context', 'Narrativa/legal-longformer-base-4096-spanish']"
35,ProsusAI/finbert,"[0.75       0.75       0.25       0.5        0.33333333 0.5
 0.33333333 0.5        0.5       ]","['Narsil/finbert2', 'ahmedrachid/FinancialBERT-Sentiment-Analysis', 'soleimanian/financial-roberta-large-sentiment', 'lucas-leme/FinBERT-PT-BR', 'JosephTK/NLP-reviews', 'nlptown/bert-base-multilingual-uncased-sentiment', 'christian-phu/bert-finetuned-japanese-sentiment', 'rttl-ai/foody-bert', 'RecordedFuture/Swedish-Sentiment-Fear']"
36,t5-small,[0.75 0.75 0.   0.   0.   0.   0.   0.   0.  ],"['t5-3b', 't5-11b', 'KETI-AIR/ke-t5-base', 'mrm8488/t5-base-finetuned-quartz', 'stockmark/bart-base-japanese-news', 'mrm8488/t5-base-finetuned-wikiSQL-sql-to-en', 'mrm8488/t5-small-finetuned-squadv1', 'itsatarax/comprehenso', 'akoksal/LongForm-OPT-1.3B']"
37,facebook/bart-large-mnli,"[0.66666667 0.66666667 0.5        0.33333333 0.         0.66666667
 0.         0.         0.33333333]","['Narsil/bart-large-mnli-opti', 'eleldar/theme-classification', 'Atharva192003/zero-shot-classfier', 'sileod/deberta-v3-base-tasksource-nli', 'VMware/vinilm-2021-from-large', 'joeddav/xlm-roberta-large-xnli', 'taishi-i/nagisa_bert', 'usmiva/bert-web-bg', 'salesken/xlm-roberta-base-finetuned-mnli-cross-lingual-transfer']"
38,bert-base-chinese,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['ptrsxu/bert-base-chinese', 'Seraphiive/bert-personalized-PreAlpha-uncased', 'l3cube-pune/hing-bert', 'osiria/bert-base-italian-cased', 'rmihaylov/bert-base-bg', 'osiria/bert-base-italian-uncased', 'Kowsher/bangla-bert', 'Recognai/distilbert-base-es-multilingual-cased', 'dumitrescustefan/bert-base-romanian-uncased-v1']"
39,sentence-transformers/all-MiniLM-L6-v2,"[0.88461538 0.6        0.6        0.88461538 0.6        0.88461538
 0.92       0.6        0.6       ]","['sentence-transformers/all-MiniLM-L12-v2', 'optimum/all-MiniLM-L6-v2', 'sentence-transformers/all-roberta-large-v1', 'sentence-transformers/all-distilroberta-v1', '3gg/all-mpnet-base-v2', 'sentence-transformers/all-mpnet-base-v2', 'diptanuc/all-mpnet-base-v2', 'navteca/all-mpnet-base-v2', 'optimum/sbert-all-MiniLM-L6-with-pooler']"
40,joeddav/xlm-roberta-large-xnli,"[0.5        0.6        0.         0.         0.         0.66666667
 0.14285714 0.5        0.5       ]","['mjwong/multilingual-e5-large-xnli-anli', 'alan-turing-institute/mt5-large-finetuned-mnli-xtreme-xnli', 'julian-schelb/roberta-ner-multilingual', 'PlanTL-GOB-ES/roberta-base-biomedical-clinical-es', 'dbmdz/electra-base-turkish-cased-discriminator', 'mjwong/multilingual-e5-large-xnli', 'Writer/palmyra-3B', 'ERCDiDip/40_langdetect_v01', 'ERCDiDip/langdetect']"
41,pyannote/segmentation,"[0.84615385 0.28571429 0.53846154 0.28571429 0.33333333 0.2
 0.23076923 0.2        0.        ]","['philschmid/pyannote-segmentation', 'superb/hubert-base-superb-sid', 'pyannote/embedding', 'superb/wav2vec2-base-superb-sid', 'flax-community/wav2vec2-german', 'cwkeam/mctct-large', 'nvidia/speakerverification_en_titanet_large', 'speechbrain/m-ctc-t-large', 'Mastering-Python-HF/nvidia_tts_en_hifitts_hifigan_ft_fastpitch']"
42,facebook/musicgen-small,"[0.66666667 0.66666667 1.         0.5        0.33333333 0.
 0.5        0.         1.        ]","['LoopersClub/musicgen-small', 'reach-vb/musicgen-large-fp16-endpoint', 'facebook/musicgen-melody', 'cherrihart/musicgen-melody', 'sander-wood/text-to-music', 'sil-ai/w2v2-kaqchikel', 'facebook/encodec_48khz', 'nvidia/tts_hifigan', 'facebook/audiogen-medium']"
43,distilgpt2,"[0.66666667 0.66666667 0.         0.33333333 0.66666667 0.66666667
 0.33333333 0.33333333 0.33333333]","['Sussybaka/gpt2wilkinscoffee', 'robowaifudev/megatron-gpt2-345m', 'armahlovis/Finetuned', 'PAIXAI/Astrid-1B', 'olm/olm-gpt2-oct-2022', 'olm/olm-gpt2-dec-2022', 'rinna/japanese-gpt-1b', 'PAIXAI/Astrid-1B-CPU', 'uer/gpt2-chinese-cluecorpussmall']"
44,ckiplab/bert-base-chinese-ner,"[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.         0.         0.        ]","['KoichiYasuoka/bert-base-japanese-luw-upos', 'KoichiYasuoka/bert-base-japanese-unidic-luw-upos', 'KoichiYasuoka/roberta-base-japanese-char-luw-upos', 'KoichiYasuoka/chinese-bert-wwm-ext-upos', 'KoichiYasuoka/roberta-base-ainu-upos', 'KoichiYasuoka/chinese-roberta-large-upos', 'ChaosW/autohome-roberta-base', 'sijunhe/nezha-cn-base', 'mingcai/ESimCSE-ext-chinese-bert-wwm']"
45,j-hartmann/emotion-english-distilroberta-base,"[0.2        0.33333333 0.5        0.5        0.5        0.25
 0.5        0.33333333 0.33333333]","['KBLab/emotional-classification', 'patrickramos/bert-base-japanese-v2-wrime-fine-tune', 'transformersbook/distilbert-base-uncased-finetuned-emotion', 'yting27/pba1-emotion-classification', 'cyrildever/distilbert-base-uncased-finetuned-emotion', 'w11wo/indonesian-roberta-base-prdect-id', 'alexandrainst/da-emotion-classification-base', 'w11wo/sundanese-bert-base-emotion-classifier', 'w11wo/sundanese-roberta-base-emotion-classifier']"
46,pyannote/speaker-diarization,"[0.89473684 0.9        0.9        0.25       0.33333333 0.23076923
 0.125      0.         0.1875    ]","['philschmid/pyannote-speaker-diarization-endpoint', 'anilbs/pipeline', 'paris-iea/speaker-diarization', 'AntonyG/fine-tune-wav2vec2-large-xls-r-1b-sw', 'crossdelenna/wav2vec2-large-en-in-lm', 'nvidia/stt_uk_citrinet_1024_gamma_0_25', 'vumichien/wav2vec2-xls-r-1b-japanese', 'GreenCounsel/speecht5_tts_common_voice_5_sv', 'nvidia/stt_es_conformer_ctc_large']"
47,mosaicml/mpt-7b-instruct,"[0.83333333 0.83333333 0.83333333 0.8        0.33333333 0.25
 0.83333333 0.33333333 0.83333333]","['k0t1k/mosaicml-mpt-7b-instruct-lora', 'gl198976/mpt-7b-instruct', 'Trelis/mpt-7b-instruct-hosted-inference-8bit', 'blackmount8/mpt-7b-instruct-ct2-int8_float16', 'crscardellino/flisol-cba-martin-fierro', 'androlike/astramix_l2_7b', 'eluzhnica/mpt-7b-instruct-peft-compatible', 'crscardellino/xi-ciai-cba-martin-fierro', 'Abzu/mpt-30b-instruct-q8']"
48,bigscience/bloom-560m,[1.  0.  0.5 0.5 0.  0.5 0.5 0.5 0.5],"['bigscience/bloom-1b7', 'papahawk/keya-560m', 'Rardilit/Panther_v1', 'rmihaylov/gpt2-small-bg', 'distilroberta-base', 'heegyu/llama-7b-easylm', 'sharpbai/llama-7b-hf', 'dfurman/llama-7b', 'osiria/diablo-italian-base-1.3b']"
49,facebook/bart-large-cnn,[0.5 0.  0.  0.  0.  0.  0.  0.  0. ],"['facebook/bart-large', 'patrickvonplaten/bart-large-fp32', 'tftransformers/bart-base', 'flax-community/pino-bigbird-roberta-base', 'google/bigbird-roberta-base', 'flax-community/bigband', 'agemagician/mlong-t5-tglobal-base', 'google/long-t5-tglobal-base', 'mrm8488/bart-legal-base-es']"
