,Model,Intersection,Ranked Results
11,airesearch/wangchanberta-base-att-spm-uncased,[1.  1.  1.  1.  0.  0.  0.  0.5 0. ],"['airesearch/wangchanberta-base-wiki-syllable', 'airesearch/wangchanberta-base-wiki-newmm', 'airesearch/wangchanberta-base-wiki-spm', 'airesearch/wangchanberta-base-wiki-sefr', 'projecte-aina/roberta-base-ca-v2-cawikitc', 'IDEA-CCNL/Randeng-T5-77M-MultiTask-Chinese', 'DAMO-NLP-SG/zero-shot-classify-SSTuning-XLM-R', 'UWB-AIR/Czert-B-base-cased', 'UWB-AIR/Czert-A-base-uncased']"
12,Salesforce/codegen-16B-nl,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-6B-nl', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-350M-nl', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-2B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-16B-multi', 'Salesforce/codegen-6B-multi']"
13,stabilityai/sd-x2-latent-upscaler,[0.5 1.  0.5 0.5 1.  0.5 0.5 0.5 0.5],"['FahimF/StableDiffusion-2.1_512_EINSUM_img2img', 'stabilityai/stable-diffusion-x4-upscaler', 'lambdalabs/stable-diffusion-image-conditioned', 'pain/CalliarGen-v2', 'stabilityai/stable-diffusion-2-inpainting', 'osanseviero/compvis_fix', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT']"
14,baichuan-inc/Baichuan-13B-Base,[1.  0.  0.5 0.  0.5 0.  0.  0.5 0.5],"['baichuan-inc/Baichuan-13B-Chat', 'ClueAI/ChatYuan-7B', 'jslin09/gpt2-chinese-cluecorpussmall-finetuned-fraud', 'neukg/TechGPT-7B', 'ebisuke/liz-nojaloli-nxja-ja', 'THUDM/chatglm2-6b', 'wangqi777/chinese-baby-llama2', 'ShadowPower/ggml-alpaca-chatgpt', 'kfkas/Llama-2-ko-7b-Chat']"
15,czurita/nsql-llama-2-7B-sharded-bf16-2GB,[0.5 0.5 0.5 0.5 0.  0.  0.  0.  0. ],"['NumbersStation/nsql-2B', 'NumbersStation/nsql-6B', 'NumbersStation/nsql-350M', 'NumbersStation/nsql-llama-2-7B', 'DominikLindorfer/SQL-LLaMA', 'microsoft/tapex-large-finetuned-tabfact', 'qblocks/llama2_SQL_Answers_finetuned', 'microsoft/tapex-large', 'microsoft/tapex-large-sql-execution']"
16,google/vit-base-patch32-224-in21k,[1.   1.   0.75 0.75 0.75 0.5  0.5  0.5  0.25],"['google/vit-base-patch16-224-in21k', 'google/vit-huge-patch14-224-in21k', 'google/vit-base-patch16-224', 'google/vit-base-patch16-384', 'google/vit-base-patch32-384', 'optimum/vit-base-patch16-224', 'facebook/dino-vits16', 'facebook/dino-vits8', 'nateraw/vit-base-patch16-224-cifar10']"
17,facebook/esmfold_v1,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['djh992/tinyIFD_Mpro', 'jaykmr/ESMCrystal_t12_35M_v2', 'minhnguyen/Advanced_B-cell_Epitopes_Prediction', 'jaykmr/ESMCrystal_t6_8M_v1', 'djh992/tinyIFD', 'evankomp/learn2therm', 'jglaser/protein-ligand-mlp-1', 'zhtronics/DiffModelerWeight', 'AmelieSchreiber/esm2_t12_35M_lora_binding_sites_v2_cp3']"
18,laion/CLIP-convnext_large_d_320.laion2B-s29B-b131K-ft-soup,[1. 1. 0. 0. 0. 0. 1. 0. 0.],"['laion/CLIP-convnext_large_d.laion2B-s26B-b102K-augreg', 'laion/CLIP-convnext_base_w-laion2B-s13B-b82K', 'timm/cs3edgenet_x.c2_in1k', 'timm/cs3se_edgenet_x.c2ns_in1k', 'facebook/flava-full', 'openflamingo/OpenFlamingo-3B-vitl-mpt1b', 'laion/CLIP-ViT-B-32-xlm-roberta-base-laion5B-s13B-b90k', 'Alpha-VLLM/LLaMA2-Accessory', 'mlpc-lab/BLIVA_FlanT5']"
19,bhadresh-savani/roberta-base-emotion,"[0.66666667 0.5        0.66666667 0.5        0.5        0.5
 0.5        0.25       0.5       ]","['bhadresh-savani/albert-base-v2-emotion', 'nanopass/distilbert-base-uncased-emotion-2', 'bhadresh-savani/bert-base-uncased-emotion', 'neel-jotaniya/emotion-advance-classifier', 'BiaDd/emotion-model', 'KBLab/robust-swedish-sentiment-multiclass', 'yting27/pba1-emotion-classification', 'gbarone77/polibert_sa', 'RecordedFuture/Swedish-Sentiment-Fear']"
20,timm/convnextv2_nano.fcmae_ft_in22k_in1k,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.6],"['timm/convnextv2_atto.fcmae_ft_in1k', 'timm/convnextv2_femto.fcmae_ft_in1k', 'timm/convnextv2_pico.fcmae_ft_in1k', 'timm/convnextv2_nano.fcmae_ft_in1k', 'timm/convnextv2_tiny.fcmae_ft_in1k', 'timm/convnextv2_huge.fcmae_ft_in1k', 'timm/convnextv2_tiny.fcmae_ft_in22k_in1k_384', 'timm/convnextv2_huge.fcmae_ft_in22k_in1k_512', 'timm/efficientnetv2_rw_m.agc_in1k']"
21,DeepPavlov/rubert-base-cased-conversational,[0.  1.  1.  0.5 1.  0.  0.  0.  0. ],"['cjvt/sloberta-sleng', 'DeepPavlov/distilrubert-small-cased-conversational', 'DeepPavlov/distilrubert-tiny-cased-conversational-5k', 'deepvk/roberta-base', 'DeepPavlov/bert-base-cased-conversational', 'cjvt/sleng-bert', 'igorktech/hierarchical-dialog-bert', 'nrnmnrn/dummy-model', 's-nlp/rubert-base-cased-conversational-paraphrase-v1']"
22,sd-dreambooth-library/mr-potato-head,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['sd-dreambooth-library/axolotee', 'sd-dreambooth-library/homelander', 'sd-dreambooth-library/mau-cat', 'sd-dreambooth-library/kamenridergeats', 'sd-dreambooth-library/sks-rv', 'sd-dreambooth-library/ba-shiroko', 'sd-dreambooth-library/mirtha-legrand', 'sd-dreambooth-library/partis', 'sd-dreambooth-library/metahuman-rkr']"
23,Salesforce/codegen-350M-nl,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-16B-nl', 'Salesforce/codegen-6B-nl', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-2B-mono', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-16B-multi']"
24,Salesforce/blip2-flan-t5-xl,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.66666667
 0.66666667 0.66666667 0.66666667]","['Salesforce/blip2-flan-t5-xl-coco', 'Salesforce/blip2-flan-t5-xxl', 'Salesforce/blip2-opt-2.7b', 'Salesforce/blip2-opt-2.7b-coco', 'Salesforce/blip2-opt-6.7b-coco', 'Mediocreatmybest/blip2-opt-2.7b_8bit', 'Mediocreatmybest/blip2-opt-6.7b_8bit', 'getZuma/image-captioning', 'Mediocreatmybest/blip2-opt-2.7b-fp16-sharded']"
25,yiyanghkust/finbert-tone,[0.   0.   0.75 0.75 0.25 0.   0.75 0.5  0.5 ],"['philschmid/finbert-pretrain-yiyanghkust', 'FinanceInc/finbert-pretrain', 'ahmedrachid/FinancialBERT-Sentiment-Analysis', 'Narsil/finbert2', 'soleimanian/financial-roberta-large-sentiment', 'ahmedrachid/FinancialBERT', 'ProsusAI/finbert', 'mstafam/fine-tuned-bert-financial-sentiment-analysis', 'yiyanghkust/finbert-fls']"
26,jordiclive/Llama-2-70b-oasst-1-200,[0.75 0.   0.25 0.25 0.5  0.   0.   0.   0.25],"['OpenAssistant/falcon-7b-sft-mix-2000', 'ludis/tsukasa-limarp-7b-gguf', 'ludis/tsukasa-limarp-7b', 'elinas/chronos-13b-8k-GPTQ', 'ushikado/yuyuyui-chatbot', 'Chinese-Vicuna/Chinese-Vicuna-lora-7b-chatv1', 'someone13574/mpt-30b-chat-ggjt', 'PKU-Alignment/beaver-7b-v1.0', 'rizerphe/CodeLlama-function-calling-6320-7b-Instruct-hf']"
27,philschmid/bart-large-cnn-samsum,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['elontusk404/fashion_mnist_model_accurace_0_88', 'Surfer/bleurt', 'kvssetty/kvs-image-classification', 'DataMinds/cnn_brain_tumor_classification', 'kiddothe2b/flash-roberta-base', 'balgot/text-2-stylegan3', 'alea31415/EuphiAni-TenseiOujo', 'TencentMedicalNet/MedicalNet-Resnet152', 'baudm/crnn']"
28,emilianJR/CyberRealistic_V3,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.66666667 0.83333333]","['emilianJR/RealisticVision_V2', 'emilianJR/KenCanMix_V2', 'emilianJR/epiCRealism', 'emilianJR/XXMix_9realistic', 'emilianJR/NeverEndingDream', 'emilianJR/HRA_hyperrealism_art', 'emilianJR/majicMIX_realistic_v5_preview', 'mfrashad/majicMIX_realistic_v6', 'emilianJR/chilloutmix_NiPrunedFp32Fix']"
29,sociocom/MedNER-CR-JA,"[1.         0.33333333 0.33333333 0.2        0.5        0.25
 0.2        0.25       0.        ]","['sociocom/MedNERN-CR-JA', 'd4data/biomedical-ner-all', 'tartuNLP/est-roberta-hist-ner', 'sschet/biomedical-ner-all', 'aitslab/biobert_huner_species_v1', 'clarin-pl/FastPDN', 'tomaarsen/span-marker-bert-base-uncased-acronyms', 'bullmount/it_nerIta_trf', 'SinaLab/ArabicNER-Wojood']"
30,TalTechNLP/voxlingua107-epaca-tdnn,"[0.66666667 0.83333333 0.         0.         0.         0.75
 0.         0.         0.        ]","['TalTechNLP/voxlingua107-xls-r-300m-wav2vec', 'TalTechNLP/voxlingua107-epaca-tdnn-ce', 'facebook/wav2vec2-base-100k-voxpopuli', 'facebook/s2t-small-librispeech-asr', 'lighteternal/wav2vec2-large-xlsr-53-greek', 'speechbrain/lang-id-voxlingua107-ecapa', 'Jzuluaga/bert-base-speaker-role-atc-en-uwb-atcc', 'microsoft/speecht5_asr', 'esnya/japanese_speecht5_tts']"
31,gilf/french-camembert-postag-model,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.  0.5],"['KoichiYasuoka/deberta-small-japanese-luw-upos', 'KoichiYasuoka/deberta-large-japanese-upos', 'KoichiYasuoka/deberta-small-coptic-upos', 'flair/upos-multi', 'KoichiYasuoka/xlm-roberta-base-english-upos', 'ckiplab/bert-base-han-chinese-pos-jindai', 'flair/upos-multi-fast', 'pere/multi-sentencefix-mt5-large', 'new5558/HoogBERTa-POS-lst20']"
32,google/bigbird-pegasus-large-arxiv,[0.5  0.75 0.25 0.   0.   0.   0.   0.25 0.25],"['google/bigbird-pegasus-large-bigpatent', 'google/bigbird-pegasus-large-pubmed', 'google/bigbird-roberta-base', 'flax-community/bigband', 'flax-community/pino-bigbird-roberta-base', 'Hitesh1501/Longformer', 'OWG/bigbird-roberta-base', 'ainize/bart-base-cnn', 'facebook/bart-large-cnn']"
33,robotjung/SemiRealMix,[0.4 0.5 0.4 0.  0.6 0.5 0.4 0.4 0.4],"['coreml-community/coreml-8528-diffusion', 'Verah/ai-protest-anime', 'coreml-community/coreml-waifu-diffusion-v1-4', 'CodeChris/EleetModel', 'JamesFlare/pastel-mix', 'Linaqruf/hermitage-xl', 'Linaqruf/animagine-xl', 'coreml-community/coreml-qgo-10b', 'p1atdev/pvc']"
34,lllyasviel/control_v11p_sd15_canny,"[0.85714286 0.85714286 0.85714286 0.75       0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286]","['lllyasviel/control_v11p_sd15_softedge', 'lllyasviel/control_v11p_sd15_openpose', 'lllyasviel/control_v11p_sd15_seg', 'ControlNet-1-1-preview/control_v11p_sd15_lineart', 'lllyasviel/control_v11p_sd15_mlsd', 'lllyasviel/control_v11p_sd15_scribble', 'lllyasviel/control_v11p_sd15_normalbae', 'lllyasviel/control_v11p_sd15_lineart', 'lllyasviel/control_v11e_sd15_ip2p']"
35,Yntec/dreamlike-photoreal-remix,"[0.875      0.5        0.5        0.         0.42857143 0.
 0.625      0.5        0.66666667]","['Yntec/Dreamlike', 'Yntec/HassanBlend12', 'Yntec/HassanBlend1512VAE', 'cyburn/mad_hatter', 'Yntec/NeverEndingDream768', 'Copax/copax_melodies', 'Yntec/OpenGenDiffusers', 'kukuhtw/ganjarpranowo', 'digiplay/RMHF_2.5D_v2']"
36,joeddav/distilbert-base-uncased-go-emotions-student,"[0.5        0.         0.         0.         0.33333333 0.33333333
 0.16666667 0.33333333 0.        ]","['Cohee/distilbert-base-uncased-go-emotions-onnx', 'keras-io/neural-decision-forest', 'google/electra-small-generator', 'jpwahle/t5-large-word-sense-disambiguation', 'owaiskha9654/Multi-Label-Classification-of-PubMed-Articles', 'FredZhang7/malphish-eater-v1', 'Recognai/bert-base-spanish-wwm-cased-xnli', 'NbAiLab/nb-bert-base-mnli', 'IDEA-CCNL/Erlangshen-MacBERT-110M-BinaryClassification-Chinese']"
37,lllyasviel/sd-controlnet-depth,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333]","['lllyasviel/sd-controlnet-normal', 'lllyasviel/sd-controlnet-canny', 'lllyasviel/sd-controlnet-hed', 'lllyasviel/sd-controlnet-scribble', 'lllyasviel/sd-controlnet-seg', 'lllyasviel/sd-controlnet-mlsd', 'lllyasviel/sd-controlnet-openpose', 'lllyasviel/control_v11p_sd15_canny', 'lllyasviel/control_v11p_sd15_softedge']"
38,sander-wood/text-to-music,"[0.33333333 0.         0.         0.66666667 0.33333333 0.
 0.33333333 0.33333333 0.        ]","['juancopi81/mutopia_guitar_mmm', 'ai-guru/lakhclean_mmmtrack_4bars_d-2048', 'DancingIguana/music-generation', 'sander-wood/clamp-small-1024', 'slseanwu/compose-and-embellish-pop1k7', 'ircam-reach/musicldm', 'm-a-p/MERT-v1-95M', 'm-a-p/MERT-v0', 'venkatasg/lil-bevo-x']"
39,albert-xxlarge-v2,"[1.         1.         0.66666667 0.75       0.         0.25
 0.25       0.5        0.5       ]","['albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'Gxl/234', 'macedonizer/ba-roberta-base', 'macedonizer/al-roberta-base', 'nielsr/coref-roberta-base', 'nielsr/coref-bert-base']"
40,T-Systems-onsite/cross-en-de-roberta-sentence-transformer,"[0.14285714 0.11111111 0.16666667 0.16666667 0.14285714 0.16666667
 0.16666667 0.         0.2       ]","['hackathon-pln-es/paraphrase-spanish-distilroberta', 'michaelfeil/ct2fast-paraphrase-multilingual-MiniLM-L12-v2', 'sentence-transformers/msmarco-bert-base-dot-v5', 'sentence-transformers/msmarco-distilbert-dot-v5', 'jamescalam/mpnet-snli', 'sentence-transformers/msmarco-distilbert-cos-v5', 'sentence-transformers/msmarco-MiniLM-L6-cos-v5', 'michaelfeil/ct2fast-LaBSE', 'flax-sentence-embeddings/stackoverflow_mpnet-base']"
41,cl-tohoku/bert-base-japanese-whole-word-masking,"[1.         0.66666667 1.         0.66666667 0.66666667 0.
 0.         0.         0.33333333]","['cl-tohoku/bert-base-japanese', 'cl-tohoku/bert-base-japanese-v3', 'cl-tohoku/bert-base-japanese-char', 'izumi-lab/bert-small-japanese', 'osiria/blaze-it', 'm3hrdadfi/albert-fa-base-v2-ner-arman', 'lirondos/anglicisms-spanish-mbert', 'm3hrdadfi/albert-fa-base-v2-ner-peyma', 'batterydata/batterybert-uncased']"
42,darkstorm2150/Protogen_x5.8_Official_Release,[0.875 0.875 0.    0.    0.    0.    0.    0.    0.   ],"['darkstorm2150/Protogen_v2.2_Official_Release', 'darkstorm2150/Protogen_x3.4_Official_Release', 'ldbruni/ronjafman-nov28', 'rdruce/ddpm-celeb-128', 'uumlaut/ddpm-vangogh-faces', 'Omerdor/128-CNV-cell', 'Omerdor/dry_samples_train_100', 'mrm8488/ddpm-ema-anime-256', 'mrm8488/ddpm-ema-anime-128']"
43,EleutherAI/pythia-6.9b,"[0.83333333 1.         0.66666667 0.66666667 0.83333333 0.25
 0.25       0.         0.        ]","['EleutherAI/pythia-70m-deduped', 'EleutherAI/pythia-12b', 'P1ayer-1/pythia-1b-deduped-instruct-base', 'exa1128/pythia-1000step', 'EleutherAI/pythia-1.4b-v0', 'rustformers/pythia-ggml', 'Technotech/opt-125m-4bit-128g', 'uwnlp/llama-2-70b-qlora-openorca', 'wuxianchao/lazylora-70bhf']"
44,WizardLM/WizardLM-13B-V1.2,[1.  1.  1.  0.5 0.5 0.5 0.5 0.  0.5],"['WizardLM/WizardCoder-Python-34B-V1.0', 'WizardLM/WizardCoder-Python-13B-V1.0', 'WizardLM/WizardCoder-15B-V1.0', 'alimtegar/WizardCoder-15B-V1.0-sharded', 'Apoorvakoira/wizabc', 'smallcloudai/Refact-1_6B-fim', 'bigcode/starcoderbase-megatron', 'THUDM/codegeex2-6b', 'Mediocreatmybest/WizardCoder-Python-13B-V1.0_8bit_nf4']"
45,pyannote/segmentation,"[0.84615385 0.5        0.23076923 0.53846154 0.         0.28571429
 0.         0.28571429 0.28571429]","['philschmid/pyannote-segmentation', 'marlenezw/AutoVC_Voice_Conversion', 'nvidia/speakerverification_en_titanet_large', 'pyannote/embedding', 'bofenghuang/wav2vec2-xls-r-1b-voxpopuli-fr', 'facebook/wav2vec2-conformer-rope-large-100h-ft', 'bene-ges/tts_ru_hifigan_ruslan', 'superb/wav2vec2-base-superb-sid', 'superb/hubert-base-superb-sid']"
46,PygmalionAI/pygmalion-350m,[0. 0. 0. 0. 0. 0. 0. 0. 0.],"['Voicelab/trurl-2-7b-8bit', 'robowaifudev/megatron-gpt2-345m', 'sooolee/bart-large-cnn-samsum-lora', 'aisquared/chopt-350m', 'aisquared/chopt-125m', 'rahuldshetty/starchat-beta-8bit', 'firqaaa/Madina-7b-chat-QLoRA-8k', '4bit/Redmond-Puffin-13B', 'aisquared/chopt-2_7b']"
47,jackaduma/SecRoBERTa,"[1.         0.5        0.5        0.         0.         0.
 0.         0.         0.33333333]","['jackaduma/SecBERT', 'ehsanaghaei/SecureBERT_Plus', 'ehsanaghaei/SecureBERT', 'novakat/nerkor-cars-onpp-hubert', 'panggi/t5-base-indonesian-summarization-cased', 'krupper/text-complexity-classification', 'climatebert/transition-physical', 'izumi-lab/electra-small-japanese-fin-discriminator', 'izumi-lab/electra-small-paper-japanese-fin-generator']"
48,nvidia/segformer-b5-finetuned-ade-640-640,[0.8 0.6 0.8 0.6 0.6 0.6 0.6 0.6 0.5],"['nvidia/segformer-b0-finetuned-ade-512-512', 'optimum/segformer-b0-finetuned-ade-512-512', 'nvidia/segformer-b2-finetuned-ade-512-512', 'nvidia/segformer-b0-finetuned-cityscapes-768-768', 'nvidia/segformer-b0-finetuned-cityscapes-512-1024', 'nvidia/segformer-b5-finetuned-cityscapes-1024-1024', 'nvidia/segformer-b3-finetuned-cityscapes-1024-1024', 'nvidia/segformer-b0-finetuned-cityscapes-640-1280', 'nvidia/mit-b0']"
49,bigcode/starcoderbase-3b,"[1.         1.         1.         1.         1.         0.5
 1.         0.5        0.33333333]","['bigcode/starcoderbase-7b', 'bigcode/starcoderbase-1b', 'bigcode/starcoder', 'bigcode/starcoderbase', 'bigcode/starcoderbase-megatron', 'GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct', 'bigcode/starcoder-megatron', 'shailja/fine-tuned-codegen-2B-Verilog', 'epinnock/wizardcoder-1b-merged']"
50,bofenghuang/vigogne-2-13b-instruct,[0.2 0.2 0.  0.2 0.2 0.5 0.2 0.2 0.2],"['Stevross/Astrid-LLama-7B', 'Stevross/Astrid-LLama-3B-CPU', 'rohanbalkondekar/QnA-gen', 'Glavin001/startup-interviews-7b-1-1-1', 'Glavin001/startup-interviews-13b-int4-2epochs-1', 'GralchemOz/guanaco-33b-chinese-GPTQ-4bit-128g', 'justphil/delightful-sparrow', 'kcheung/text_gen_QA_001-2', 'ali1627/yugioh_training']"
51,distilbert-base-cased-distilled-squad,[1. 0. 0. 0. 1. 0. 0. 0. 0.],"['distilbert-base-uncased-distilled-squad', 'osiria/blaze-it', 'distilbert-base-multilingual-cased', 'google/multiberts-seed_0-step_40k', 'itsatarax/comprehenso', 'boleshirish/Marathi_DistilBert_Pretrained', 'google/multiberts-seed_0', 'google/multiberts-seed_20', 'casehold/bert-double']"
52,google/vivit-b-16x2-kinetics400,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['facebook/timesformer-base-finetuned-k600', 'facebook/timesformer-base-finetuned-k400', 'facebook/timesformer-base-finetuned-ssv2', 'MCG-NJU/videomae-base-short-finetuned-ssv2', 'MCG-NJU/videomae-base-finetuned-ssv2', 'MCG-NJU/videomae-base-short-finetuned-kinetics', 'MCG-NJU/videomae-base-finetuned-kinetics', 'MCG-NJU/videomae-huge-finetuned-kinetics', 'MCG-NJU/videomae-base-short']"
53,mrm8488/t5-base-finetuned-summarize-news,"[0.5        0.66666667 0.66666667 0.33333333 0.66666667 0.5
 0.33333333 0.66666667 0.66666667]","['lordtt13/t5-inshorts', 'mrm8488/t5-small-finetuned-squadv1', 'mrm8488/t5-small-finetuned-squadv2', 'mrm8488/t5-base-finetuned-quartz', 'mrm8488/t5-base-finetuned-wikiSQL', 'mrm8488/t5-base-finetuned-e2m-intent', 'mikesun112233/t5-base-finetuned-question-generation-ap', 'mrm8488/t5-base-finetuned-wikiSQL-sql-to-en', 'mrm8488/t5-base-finetuned-question-generation-ap']"
