,Model,Intersection,Ranked Results
10,Salesforce/xgen-7b-8k-base,[0.5 0.  0.5 0.5 0.5 0.  0.5 0.  0. ],"['ai-forever/rugpt3large_based_on_gpt2', 'AshtonIsNotHere/xlm-roberta-long-base-4096', 'Universal-NER/UniNER-7B-type', 'VMware/xgen-7b-8k-open-instruct', 'Dm271/Gptsmall', 'markussagen/xlm-roberta-longformer-base-4096', 'ai-forever/rugpt3small_based_on_gpt2', 'ai-forever/rugpt3xl', 'AIRI-Institute/gena-lm-bert-base-t2t']"
11,airesearch/wangchanberta-base-att-spm-uncased,[1.  1.  1.  1.  0.5 0.  0.5 0.5 0.5],"['airesearch/wangchanberta-base-wiki-newmm', 'airesearch/wangchanberta-base-wiki-spm', 'airesearch/wangchanberta-base-wiki-sefr', 'airesearch/wangchanberta-base-wiki-syllable', 'new5558/HoogBERTa', 'praramnine/isl-camembert-beauty-aspect-v2', 'ganchengguang/RoBERTa-base-janpanese', 'ctoraman/RoBERTweetTurkCovid', 'ganchengguang/RoBERTa-base-japanese-sentencepiece']"
12,Salesforce/codegen-16B-nl,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-350M-nl', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-6B-nl', 'Salesforce/codegen-16B-multi', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-6B-multi', 'Salesforce/codegen-6B-mono']"
13,stabilityai/sd-x2-latent-upscaler,[0.5 1.  0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['ssube/stable-diffusion-x4-upscaler-onnx', 'stabilityai/stable-diffusion-x4-upscaler', 'jutaporn37678/stable-diffusion-v1-0', 'CompVis/stable-diffusion-v1-4', 'keogh/stable-diffusion-compvis-v1-4', 'olympictafira/cAT', 'pcuenq/stable-diffusion-v1-4', 'junnyu/stable-diffusion-v1-4-paddle', 'bryanhpchiang/anim']"
14,baichuan-inc/Baichuan-13B-Base,[1.  1.  0.  0.5 0.5 0.  0.  0.  0.5],"['baichuan-inc/Baichuan-13B-Chat', 'baichuan-inc/Baichuan2-13B-Chat', 'ClueAI/ChatYuan-7B', 'AlpachinoNLP/Baichuan-13B-Instruction', 'openerotica/Qwen-7B-Chat-128g-4bit', 'THUDM/chatglm2-6b-int4', 'ssbuild/chatglm2-6b-int4', 'JessyTsu1/ChatLaw-13B', 'shibing624/chinese-llama-plus-13b-hf']"
15,czurita/nsql-llama-2-7B-sharded-bf16-2GB,[0.5 0.5 0.5 0.5 0.  0.5 0.  0.  0.5],"['NumbersStation/nsql-llama-2-7B', 'NumbersStation/nsql-350M', 'NumbersStation/nsql-6B', 'NumbersStation/nsql-2B', 'DominikLindorfer/SQL-LLaMA', 'bugdaryan/Code-Llama-2-13B-instruct-text2sql', 'qblocks/llama2_SQL_Answers_finetuned', 'gaussalgo/T5-LM-Large-text2sql-spider', 'richardr1126/spider-natsql-wizard-coder-merged']"
16,google/vit-base-patch32-224-in21k,[1.   1.   0.75 0.75 0.75 0.5  0.   0.25 0.25],"['google/vit-base-patch16-224-in21k', 'google/vit-huge-patch14-224-in21k', 'google/vit-base-patch32-384', 'google/vit-base-patch16-384', 'google/vit-base-patch16-224', 'optimum/vit-base-patch16-224', 'AkshatSurolia/ViT-FaceMask-Finetuned', 'nateraw/vit-base-patch16-224-cifar10', 'facebook/dinov2-base-imagenet1k-1-layer']"
17,facebook/esmfold_v1,[0. 0. 1. 0. 0. 0. 0. 0. 0.],"['AmelieSchreiber/esm2_t12_35M_lora_binding_sites_v2_cp3', 'rampasek/prot_bert_bfd_rosetta204060aa', 'facebook/esm2_t6_8M_UR50D', 'rampasek/prot_bert_bfd_rosetta20aa', 'Rostlab/ProstT5', 'zhihan1996/DNABERT-2-117M', 'Cyrema/Llama-2-7b-Cesspit', 'AmelieSchreiber/cafa_5_protein_function_prediction', 'Cyrema/Llama-2-7b-Bogpit']"
18,laion/CLIP-convnext_large_d_320.laion2B-s29B-b131K-ft-soup,[1.   1.   0.75 0.   0.   0.   0.   0.   1.  ],"['laion/CLIP-convnext_large_d.laion2B-s26B-b102K-augreg', 'laion/CLIP-convnext_base_w-laion2B-s13B-b82K', 'laion/CLIP-convnext_xxlarge-laion2B-s34B-b82K-augreg-soup', 'timm/convnext_base.clip_laiona_augreg_ft_in1k_384', 'timm/convnext_base.clip_laion2b_augreg_ft_in12k_in1k_384', 'timm/convnext_large_mlp.clip_laion2b_soup_ft_in12k_in1k_320', 'timm/convnext_xxlarge.clip_laion2b_soup_ft_in1k', 'timm/convnext_large_mlp.clip_laion2b_augreg_ft_in1k_384', 'laion/CLIP-ViT-bigG-14-laion2B-39B-b160k']"
19,bhadresh-savani/roberta-base-emotion,"[0.16666667 0.         0.         0.         0.33333333 0.16666667
 0.25       0.66666667 0.33333333]","['arpanghoshal/EmoRoBERTa', 'ganchengguang/RoBERTa-base-janpanese', 'ganchengguang/RoBERTa-base-japanese-sentencepiece', 'ganchengguang/Roformer-base-japanese', 'w11wo/sundanese-roberta-base-emotion-classifier', 'AdapterHub/roberta-base-pf-imdb', 'w11wo/indonesian-roberta-base-prdect-id', 'bhadresh-savani/bert-base-uncased-emotion', 'AdapterHub/roberta-base-pf-emotion']"
20,timm/convnextv2_nano.fcmae_ft_in22k_in1k,[0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5 0.5],"['timm/convnextv2_tiny.fcmae_ft_in22k_in1k_384', 'timm/convnextv2_femto.fcmae_ft_in1k', 'timm/convnextv2_huge.fcmae_ft_in22k_in1k_512', 'timm/convnextv2_nano.fcmae_ft_in1k', 'timm/convnextv2_atto.fcmae_ft_in1k', 'timm/convnextv2_tiny.fcmae_ft_in1k', 'timm/convnextv2_pico.fcmae_ft_in1k', 'timm/convnextv2_huge.fcmae_ft_in1k', 'timm/convnextv2_large.fcmae']"
21,DeepPavlov/rubert-base-cased-conversational,[1.  1.  1.  1.  0.  0.5 1.  0.  0. ],"['DeepPavlov/rubert-base-cased', 'DeepPavlov/rubert-base-cased-sentence', 'DeepPavlov/distilrubert-small-cased-conversational', 'DeepPavlov/distilrubert-tiny-cased-conversational-5k', 's-nlp/rubert-base-cased-conversational-paraphrase-v1', 'cointegrated/rubert-tiny', 'DeepPavlov/bert-base-cased-conversational', 'blanchefort/rubert-base-cased-sentiment-rusentiment', 'cjvt/sloberta-sleng']"
22,sd-dreambooth-library/mr-potato-head,[0. 1. 1. 0. 1. 1. 1. 1. 1.],"['ikram9820/ikram-12-im', 'sd-dreambooth-library/edd', 'sd-dreambooth-library/zombie-head', 'Datasculptor/sks', 'sd-dreambooth-library/mau-cat', 'sd-dreambooth-library/face2contra', 'sd-dreambooth-library/arthur-leywin', 'sd-dreambooth-library/metahuman-rkr', 'sd-dreambooth-library/cat-toy']"
23,Salesforce/codegen-350M-nl,[1. 1. 1. 1. 1. 1. 1. 1. 1.],"['Salesforce/codegen-16B-nl', 'Salesforce/codegen-2B-nl', 'Salesforce/codegen-6B-nl', 'Salesforce/codegen-350M-multi', 'Salesforce/codegen-350M-mono', 'Salesforce/codegen-16B-mono', 'Salesforce/codegen-16B-multi', 'Salesforce/codegen-6B-mono', 'Salesforce/codegen-6B-multi']"
24,Salesforce/blip2-flan-t5-xl,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.66666667
 0.66666667 0.66666667 0.66666667]","['Salesforce/blip2-flan-t5-xl-coco', 'Salesforce/blip2-flan-t5-xxl', 'Salesforce/blip2-opt-6.7b-coco', 'Salesforce/blip2-opt-2.7b', 'Salesforce/blip2-opt-2.7b-coco', 'Mediocreatmybest/blip2-opt-6.7b_8bit', 'Mediocreatmybest/blip2-opt-2.7b_8bit', 'getZuma/image-captioning', 'Mediocreatmybest/blip2-opt-2.7b-fp16-sharded']"
25,yiyanghkust/finbert-tone,[0.   0.75 0.   0.25 0.75 0.   0.   0.75 0.5 ],"['FinanceInc/finbert-pretrain', 'Narsil/finbert2', 'philschmid/finbert-pretrain-yiyanghkust', 'FinanceInc/auditor_sentiment_finetuned', 'ahmedrachid/FinancialBERT-Sentiment-Analysis', 'ahmedrachid/FinancialBERT', 'SALT-NLP/FLANG-SpanBERT', 'ProsusAI/finbert', 'turing-usp/FinBertPTBR']"
26,jordiclive/Llama-2-70b-oasst-1-200,"[0.75       0.75       0.75       0.75       0.75       0.66666667
 0.75       0.33333333 0.75      ]","['OpenAssistant/llama2-70b-oasst-sft-v10', 'OpenAssistant/falcon-40b-sft-mix-1226', 'OpenAssistant/falcon-7b-sft-mix-2000', 'OpenAssistant/falcon-40b-sft-top1-560', 'OpenAssistant/falcon-7b-sft-top1-696', 'OpenAssistant/oasst-sft-1-pythia-12b', 'jordiclive/gpt4all-alpaca-oa-codealpaca-lora-7b', 'flozi00/Llama-2-13B-german-assistant-v3', 'carlebiro/Reply40B']"
27,philschmid/bart-large-cnn-samsum,"[0.33333333 0.66666667 0.         0.66666667 0.         0.33333333
 0.33333333 0.33333333 0.        ]","['philschmid/flan-t5-xxl-samsum-peft', 'jackieliu930/bart-large-cnn-samsum', 'google/flan-t5-base', 'slauw87/bart_summarisation', 'cloudqi/cqi_question_solver_translator_v0', 'ArtifactAI/flan-t5-base-arxiv-cs-ml-question-answering', 'ArtifactAI/flan-t5-xxl-arxiv-math-closed-qa', 'ArtifactAI/flan-t5-base-arxiv-math-question-answering', 'w11wo/javanese-roberta-small']"
28,emilianJR/CyberRealistic_V3,"[0.83333333 0.83333333 0.83333333 0.66666667 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333]","['emilianJR/XXMix_9realistic', 'emilianJR/RealisticVision_V2', 'emilianJR/majicMIX_realistic_v5_preview', 'mfrashad/majicMIX_realistic_v6', 'emilianJR/chilloutmix_NiPrunedFp32Fix', 'emilianJR/ProGenUberAnalogMix_V1', 'emilianJR/epiCRealism', 'emilianJR/KenCanMix_V2', 'emilianJR/HRA_hyperrealism_art']"
29,sociocom/MedNER-CR-JA,"[1.         0.2        0.33333333 0.5        0.25       0.
 0.         0.2        0.2       ]","['sociocom/MedNERN-CR-JA', 'sschet/biomedical-ner-all', 'd4data/biomedical-ner-all', 'aitslab/biobert_huner_species_v1', 'tsantosh7/en_BiomedNER_EuropePMC', 'Charangan/MedBERT', 'keras-io/ner-with-transformers', 'tsmatz/xlm-roberta-ner-japanese', 'camila-ud/DrBERT-CASM2']"
30,TalTechNLP/voxlingua107-epaca-tdnn,"[0.66666667 0.83333333 0.75       0.75       0.75       0.2
 0.66666667 0.2        0.        ]","['TalTechNLP/voxlingua107-xls-r-300m-wav2vec', 'TalTechNLP/voxlingua107-epaca-tdnn-ce', 'sahita/language-identification', 'sahita/lang-VoxLingua107-ecapa', 'speechbrain/lang-id-voxlingua107-ecapa', 'TalTechNLP/espnet2_estonian', 'speechbrain/lang-id-commonlanguage_ecapa', 'TalTechNLP/xls-r-300m-et', 'NbAiLab/nb-wav2vec2-300m-bokmaal']"
31,gilf/french-camembert-postag-model,[0.  0.  0.  0.  0.  0.  0.  0.5 0.5],"['camembert/camembert-large', 'DataikuNLP/camembert-base', 'Bugpie/dummy-model', 'camembert-base', 'nrnmnrn/dummy-model', 'lgrobol/BERTrade-camemBERT', 'cjvt/roberta-en-hi-codemixed', 'Jean-Baptiste/camembert-ner-with-dates', 'cfinley/punct_restore_fr']"
32,google/bigbird-pegasus-large-arxiv,"[0.75       0.5        0.25       0.         0.         0.
 0.         0.33333333 0.        ]","['google/bigbird-pegasus-large-pubmed', 'google/bigbird-pegasus-large-bigpatent', 'google/bigbird-roberta-base', 'OWG/bigbird-roberta-base', 'flax-community/pino-bigbird-roberta-base', 'flax-community/bigband', 'monologg/kobigbird-bert-base', 'google/bigbird-base-trivia-itc', 'nsi319/bigbird-roberta-base-finetuned-app']"
33,robotjung/SemiRealMix,"[0.         0.         0.         0.33333333 0.4        0.4
 0.6        0.6        0.4       ]","['donataka/ABlendedCheese', 'teftef/LARM_mix_xl', 'CircleD5/MeipomeroMix', 'LieDeath/Anmokomergetest1', 'coreml-community/coreml-WonderMix', 'ThePioneer/MISA', 'Cosmo-Hug/FeverDream', 'dreamlike-art/dreamlike-photoreal-1.0', 'coreml-community/coreml-Ares-Mix']"
34,lllyasviel/control_v11p_sd15_canny,"[0.75       0.85714286 0.85714286 0.85714286 0.85714286 0.85714286
 0.85714286 0.85714286 0.85714286]","['ControlNet-1-1-preview/control_v11p_sd15_lineart', 'lllyasviel/control_v11p_sd15_mlsd', 'lllyasviel/control_v11p_sd15_openpose', 'lllyasviel/control_v11p_sd15_seg', 'lllyasviel/control_v11p_sd15_normalbae', 'lllyasviel/control_v11p_sd15_softedge', 'lllyasviel/control_v11p_sd15_scribble', 'lllyasviel/control_v11f1p_sd15_depth', 'lllyasviel/control_v11p_sd15_lineart']"
35,Yntec/dreamlike-photoreal-remix,"[0.875      0.5        0.33333333 0.         0.5        0.66666667
 0.625      0.75       0.        ]","['Yntec/Dreamlike', 'Yntec/HassanBlend12', 'GravyFace/Gravy_Mix', 'Copax/copax_melodies', 'aliceDollMix/aliceDollMix', 'digiplay/RMHF_2.5D_v2', 'Yntec/OpenNijiRemix', 'dreamlike-art/dreamlike-photoreal-1.0', 'BestJammer/HASDX']"
36,joeddav/distilbert-base-uncased-go-emotions-student,"[0.5        0.         0.66666667 0.16666667 0.         0.16666667
 0.         0.         0.        ]","['Cohee/distilbert-base-uncased-go-emotions-onnx', 'AyoubChLin/DistilBERT_ZeroShot', 'joeddav/distilbert-base-uncased-agnews-student', 'vicgalle/xlm-roberta-large-xnli-anli', 'oigele/Fb_improved_zeroshot', 'Recognai/bert-base-spanish-wwm-cased-xnli', 'claritylab/zero-shot-vanilla-binary-bert', 'claritylab/zero-shot-explicit-binary-bert', 'claritylab/zero-shot-implicit-binary-bert']"
37,lllyasviel/sd-controlnet-depth,"[0.83333333 0.83333333 0.83333333 0.83333333 0.83333333 0.83333333
 0.83333333 0.83333333 0.83333333]","['lllyasviel/sd-controlnet-normal', 'lllyasviel/sd-controlnet-seg', 'lllyasviel/sd-controlnet-canny', 'lllyasviel/sd-controlnet-hed', 'lllyasviel/sd-controlnet-scribble', 'lllyasviel/sd-controlnet-mlsd', 'lllyasviel/sd-controlnet-openpose', 'lllyasviel/control_v11f1p_sd15_depth', 'lllyasviel/control_v11p_sd15_lineart']"
38,sander-wood/text-to-music,"[0.         0.66666667 0.33333333 0.66666667 0.         0.
 0.33333333 0.33333333 0.33333333]","['IreneXu/MuseCoco_text2attribute', 'sander-wood/tunesformer', 'juancopi81/mutopia_guitar_mmm', 'sander-wood/clamp-small-1024', 'cherrihart/musicgen-melody', 'facebook/musicgen-melody', 'AnyaSchen/image2music', 'reach-vb/musicgen-large-fp16-endpoint', 'facebook/musicgen-small']"
39,albert-xxlarge-v2,"[1.         1.         0.66666667 0.75       0.66666667 0.66666667
 1.         1.         1.        ]","['albert-xxlarge-v2', 'albert-xlarge-v2', 'tftransformers/albert-xxlarge-v2', 'tftransformers/albert-base-v1', 'tftransformers/bert-large-uncased-whole-word-masking', 'tftransformers/bert-large-cased-whole-word-masking', 'bert-base-uncased', 'Contents/bert-base-uncased', 'mlcorelib/debertav2-base-uncased']"
40,T-Systems-onsite/cross-en-de-roberta-sentence-transformer,"[0.16666667 0.16666667 0.16666667 0.16666667 0.16666667 0.16666667
 0.16666667 0.16666667 0.16666667]","['sentence-transformers/stsb-roberta-large', 'sentence-transformers/bert-base-nli-mean-tokens', 'sentence-transformers/msmarco-distilbert-dot-v5', 'sentence-transformers/msmarco-distilbert-cos-v5', 'sentence-transformers/msmarco-MiniLM-L6-cos-v5', 'DataikuNLP/paraphrase-multilingual-MiniLM-L12-v2', 'sentence-transformers/msmarco-bert-base-dot-v5', 'DataikuNLP/paraphrase-albert-small-v2', 'DataikuNLP/paraphrase-MiniLM-L6-v2']"
41,cl-tohoku/bert-base-japanese-whole-word-masking,"[1.         1.         0.66666667 0.66666667 0.33333333 0.66666667
 0.66666667 1.         0.66666667]","['cl-tohoku/bert-base-japanese', 'cl-tohoku/bert-base-japanese-char', 'cl-tohoku/bert-base-japanese-v3', 'izumi-lab/bert-small-japanese', 'izumi-lab/bert-small-japanese-fin', 'nlp-waseda/roberta-base-japanese', 'colorfulscoop/bert-base-ja', 'bert-base-multilingual-uncased', 'ku-nlp/deberta-v2-base-japanese']"
42,darkstorm2150/Protogen_x5.8_Official_Release,"[0.875      0.875      0.875      0.875      0.875      0.25
 0.57142857 0.         0.33333333]","['darkstorm2150/Protogen_x3.4_Official_Release', 'darkstorm2150/Protogen_v2.2_Official_Release', 'darkstorm2150/Protogen_Nova_Official_Release', 'darkstorm2150/OpenGen', 'darkstorm2150/Protogen_x5.3_Official_Release', 'Snowy-the-Arctic-Fox/Stable-Diffusion', 'jainr3/sd-diffusiondb-pixelart-v2-model-lora', 'sd-concepts-library/fluid-acrylic-jellyfish-creatures-style-of-carl-ingram-art', 'sd-dreambooth-library/estelle-sims-style']"
43,EleutherAI/pythia-6.9b,"[1.         0.83333333 0.66666667 0.66666667 0.83333333 0.25
 0.5        0.5        0.5       ]","['EleutherAI/pythia-12b', 'EleutherAI/pythia-70m-deduped', 'exa1128/pythia-1000step', 'P1ayer-1/pythia-1b-deduped-instruct-base', 'EleutherAI/pythia-1.4b-v0', 'rustformers/pythia-ggml', 'michaelfeil/ct2fast-pythia-12b', 'michaelfeil/ct2fast-pythia-160m', 'michaelfeil/ct2fast-pythia-6.9b']"
44,WizardLM/WizardLM-13B-V1.2,[1.  1.  1.  0.5 1.  0.5 0.5 0.5 1. ],"['WizardLM/WizardCoder-15B-V1.0', 'WizardLM/WizardCoder-Python-34B-V1.0', 'WizardLM/WizardCoder-Python-13B-V1.0', 'anttip/WizardCoder-15B-V1.0', 'WizardLM/WizardLM-70B-V1.0', 'rombodawg/WizardCoder-Python-13B-V1.0_Sharded_1.5gb', 'alimtegar/WizardCoder-15B-V1.0-sharded', 'rombodawg/WizardCoder-Python-7B-V1.0_Sharded_1.5gb', 'WizardLM/WizardMath-70B-V1.0']"
45,pyannote/segmentation,"[0.84615385 0.53846154 0.61538462 0.61538462 0.61538462 0.61538462
 0.69230769 0.61538462 0.53846154]","['philschmid/pyannote-segmentation', 'pyannote/embedding', 'pyannote/speaker-diarization', 'anilbs/pipeline', 'philschmid/pyannote-speaker-diarization-endpoint', 'paris-iea/speaker-diarization', 'pyannote/speaker-segmentation', 'KIFF/pyannote-speaker-diarization-endpoint', 'pyannote/brouhaha']"
46,PygmalionAI/pygmalion-350m,"[0.25       0.5        0.33333333 0.         0.25       0.
 0.         0.         0.        ]","['InterruptAI/Interrupt-350M', 'PygmalionAI/pygmalion-1.3b', 'satkinson/DialoGPT-medium-marvin', 'pszemraj/opt-peter-2.7B', 'L-R/LLmRa-355M', 'sr5434/gptQuotes', 'ayoolaolafenwa/ChatLM', 'Bomml/Llama-2-70B-chat-w4-g128-awq', 'inarikami/monogptari-1.3b']"
47,jackaduma/SecRoBERTa,"[1.         0.5        0.5        0.         0.5        0.2
 0.16666667 0.25       0.25      ]","['jackaduma/SecBERT', 'ehsanaghaei/SecureBERT_Plus', 'ehsanaghaei/SecureBERT', 'allenai/scibert_scivocab_uncased', 'antoinelouis/netbert', 'markusbayer/CySecBERT', 'clincolnoz/test_cont_training', 'nlpaueb/sec-bert-shape', 'nlpaueb/sec-bert-base']"
48,nvidia/segformer-b5-finetuned-ade-640-640,[0.8 0.6 0.8 0.6 0.6 0.6 0.6 0.6 0.5],"['nvidia/segformer-b0-finetuned-ade-512-512', 'optimum/segformer-b0-finetuned-ade-512-512', 'nvidia/segformer-b2-finetuned-ade-512-512', 'nvidia/segformer-b5-finetuned-cityscapes-1024-1024', 'nvidia/segformer-b0-finetuned-cityscapes-640-1280', 'nvidia/segformer-b3-finetuned-cityscapes-1024-1024', 'nvidia/segformer-b0-finetuned-cityscapes-512-1024', 'nvidia/segformer-b0-finetuned-cityscapes-768-768', 'nvidia/mit-b0']"
49,bigcode/starcoderbase-3b,[1.   1.   1.   1.   1.   0.5  1.   1.   0.75],"['bigcode/starcoderbase-7b', 'bigcode/starcoderbase-1b', 'bigcode/starcoderbase', 'bigcode/starcoder', 'bigcode/starcoderbase-megatron', 'GeorgiaTechResearchInstitute/starcoder-gpteacher-code-instruct', 'bigcode/starcoderplus-megatron', 'bigcode/starcoder-megatron', 'NeoDim/starcoderbase-GGML']"
50,bofenghuang/vigogne-2-13b-instruct,[1.  0.6 1.  1.  1.  0.6 1.  0.6 0.6],"['bofenghuang/vigogne-13b-instruct', 'TheBloke/Vigogne-Instruct-13B-HF', 'bofenghuang/vigogne-mpt-7b-instruct', 'bofenghuang/vigogne-33b-instruct', 'bofenghuang/vigogne-falcon-7b-instruct', 'bofenghuang/vigogne-bloom-7b1-instruct', 'bofenghuang/vigogne-2-7b-chat', 'TheBloke/Vigogne-Instruct-13B-GPTQ', 'bofenghuang/vigogne-opt-6.7b-instruct']"
51,distilbert-base-cased-distilled-squad,[1.  0.  0.5 0.  1.  0.  0.  0.  0. ],"['distilbert-base-uncased-distilled-squad', 'nanopass/distilbert-base-uncased-emotion-2', 'IProject-10/distilbert-base-uncased-finetuned-squad2', 'ahmednasser/DistilBert-FakeNews', 'itsatarax/comprehenso', 'SaiKrishna-KK/HuggingFace-DFLLM', 'Giyaseddin/distilbert-base-uncased-finetuned-short-answer-assessment', 'onnxport/distilbert-base-uncased-onnx', 'distilbert-base-multilingual-cased']"
52,google/vivit-b-16x2-kinetics400,"[0.         0.25       0.25       0.25       0.         0.33333333
 0.25       0.25       0.25      ]","['AkshatSurolia/ViT-FaceMask-Finetuned', 'facebook/dinov2-base-imagenet1k-1-layer', 'facebook/dinov2-base', 'nateraw/vit-base-patch16-224-cifar10', 'facebook/vc1-large', 'facebook/vit-mae-base', 'Aalaa/Fine_tuned_Vit_trash_classification', 'optimum/vit-base-patch16-224', 'apple/deeplabv3-mobilevit-xx-small']"
